type,dwage9x,floor5x,count,countsamp,GeneralType
Ground floor converted flat,pre 1850,110 sqm or more,1511,1,YZ
Ground floor converted flat,pre 1850,70 to 89 sqm,1148,1,YZ
Ground floor converted flat,pre 1850,90 to 109 sqm,4256,2,YZ
Ground floor converted flat,pre 1850,less than 50 sqm,13226,6,YZ
"Ground floor purpose built flat, high rise",1850 to 1899,90 to 109 sqm,4370,1,XJ
"Ground floor purpose built flat, high rise",1900 to 1918,50 to 69 sqm,385,1,XJ
"Ground floor purpose built flat, high rise",1919 to 1944,50 to 69 sqm,4623,1,XJ
"Ground floor purpose built flat, high rise",1945 to 1964,50 to 69 sqm,6242,6,XI
"Ground floor purpose built flat, high rise",1945 to 1964,70 to 89 sqm,12184,1,XI
"Ground floor purpose built flat, high rise",1945 to 1964,less than 50 sqm,2411,4,XI
"Ground floor purpose built flat, high rise",1965 to 1974,50 to 69 sqm,6550,4,XH
"Ground floor purpose built flat, high rise",1965 to 1974,70 to 89 sqm,4226,5,XH
"Ground floor purpose built flat, high rise",1965 to 1974,90 to 109 sqm,7887,1,XH
"Ground floor purpose built flat, high rise",1965 to 1974,less than 50 sqm,3986,3,XH
"Ground floor purpose built flat, high rise",post 1990,50 to 69 sqm,4421,1,XK
"Ground floor purpose built flat, high rise",post 1990,70 to 89 sqm,7038,3,XK
"Ground floor purpose built flat, low rise",1850 to 1899,110 sqm or more,5933,1,XR
"Ground floor purpose built flat, low rise",1850 to 1899,50 to 69 sqm,16228,9,XR
"Ground floor purpose built flat, low rise",1850 to 1899,70 to 89 sqm,2466,1,XR
"Ground floor purpose built flat, low rise",1850 to 1899,less than 50 sqm,3427,2,XR
"Ground floor purpose built flat, low rise",1900 to 1918,50 to 69 sqm,15661,8,ZP
"Ground floor purpose built flat, low rise",1900 to 1918,70 to 89 sqm,3854,1,ZP
"Ground floor purpose built flat, low rise",1900 to 1918,less than 50 sqm,3941,3,ZP
"Ground floor purpose built flat, low rise",1919 to 1944,110 sqm or more,750,1,XR
"Ground floor purpose built flat, low rise",1919 to 1944,50 to 69 sqm,43843,29,DJ
"Ground floor purpose built flat, low rise",1919 to 1944,70 to 89 sqm,4543,3,XR
"Ground floor purpose built flat, low rise",1919 to 1944,90 to 109 sqm,5401,2,XR
"Ground floor purpose built flat, low rise",1919 to 1944,less than 50 sqm,18160,14,GG
"Ground floor purpose built flat, low rise",1945 to 1964,50 to 69 sqm,121357,130,P
"Ground floor purpose built flat, low rise",1945 to 1964,70 to 89 sqm,44527,31,CZ
"Ground floor purpose built flat, low rise",1945 to 1964,90 to 109 sqm,5146,4,LY
