"","archcode","count","countsamp","conf"
"811","HE-A-A-F-A",12889,8,1611.125
"812","HE-A-A-G-A",6009,7,858.428571428571
"813","HE-A-A-H-A",3743,2,1871.5
"814","HE-A-A-K-A",6582,5,1316.4
"815","HE-A-A-L-A",1124,1,1124
"816","HE-A-B-A-A",58194,44,1322.59090909091
"817","HE-A-B-B-A",17760,12,1480
"818","HE-A-B-C-A",2291,2,1145.5
"819","HE-A-B-D-A",6439,2,3219.5
"820","HE-A-B-G-A",2313,2,1156.5
"821","HE-A-B-K-A",3003,1,3003
"822","HE-A-C-A-A",25293,32,790.40625
"823","HE-A-C-A-B",678,1,678
"824","HE-A-C-B-A",2732,5,546.4
"825","HE-A-C-C-A",358,1,358
"826","HE-A-C-D-A",1673,3,557.666666666667
"827","HE-A-C-G-A",493,1,493
"828","HE-A-D-A-A",1568,3,522.666666666667
"829","HE-A-D-B-A",420,1,420
"830","HE-A-D-K-A",1960,1,1960
"831","HE-A-D-L-A",1404,1,1404
"832","HE-C-A-A-A",4001,6,666.833333333333
"833","HE-C-A-A-B",33996,27,1259.11111111111
"834","HE-C-A-B-A",1128,2,564
"835","HE-C-A-B-B",7483,5,1496.6
"836","HE-C-A-C-B",12661,3,4220.33333333333
"837","HE-C-A-D-A",544,1,544
"838","HE-C-A-D-B",10952,7,1564.57142857143
"839","HE-C-A-G-A",5064,1,5064
"840","HE-C-A-G-B",6055,2,3027.5
"841","HE-C-A-K-B",634,1,634
"842","HE-C-A-L-A",1904,1,1904
"843","HE-C-B-A-B",20987,13,1614.38461538462
"844","HE-C-B-B-B",10536,5,2107.2
"845","HE-C-B-C-B",462,1,462
"846","HE-C-B-F-B",3475,1,3475
"847","HE-C-B-K-B",1843,1,1843
"848","HE-C-C-A-A",2288,2,1144
"849","HE-C-C-A-B",6699,7,957
"850","HE-C-C-B-B",346,1,346
"851","HE-C-C-C-B",1350,2,675
"852","HE-C-C-D-A",2248,1,2248
"853","HE-C-C-F-B",1702,1,1702
"854","HE-C-C-K-B",523,1,523
"855","HE-C-D-A-B",3079,2,1539.5
"856","HE-C-D-D-B",384,1,384
"857","HE-C-D-F-A",1981,1,1981
"858","HE-C-D-F-B",4807,1,4807
"859","HE-C-D-G-B",1068,1,1068
"860","HF-A-A-A-A",210491,202,1042.03465346535
"861","HF-A-A-B-A",72742,56,1298.96428571429
"862","HF-A-A-C-A",21560,23,937.391304347826
"863","HF-A-A-D-A",32603,28,1164.39285714286
"864","HF-A-A-D-B",465,1,465
"865","HF-A-A-F-A",8477,5,1695.4
"866","HF-A-A-G-A",13878,17,816.352941176471
"867","HF-A-A-G-B",1103,1,1103
"868","HF-A-A-H-A",4715,3,1571.66666666667
"869","HF-A-A-K-A",12323,7,1760.42857142857
"870","HF-A-A-L-A",1686,3,562
"871","HF-A-B-A-A",1514,2,757
"872","HF-A-B-B-A",894,1,894
"873","HF-A-C-A-A",9158,10,915.8
"874","HF-A-C-B-A",2066,4,516.5
"875","HF-A-C-C-A",428,1,428
"876","HF-A-C-D-A",4817,5,963.4
"877","HF-A-C-F-A",1906,1,1906
"878","HF-A-C-G-A",2657,4,664.25
"879","HF-A-C-L-A",780,1,780
"880","HF-A-D-A-A",3229,3,1076.33333333333
"881","HF-C-A-A-A",6543,9,727
"882","HF-C-A-A-B",61182,38,1610.05263157895
"883","HF-C-A-B-A",842,1,842
"884","HF-C-A-B-B",21238,13,1633.69230769231
"885","HF-C-A-C-B",6467,6,1077.83333333333
"886","HF-C-A-D-A",5293,3,1764.33333333333
"887","HF-C-A-D-B",42342,17,2490.70588235294
"888","HF-C-A-F-B",2996,2,1498
"889","HF-C-A-G-A",6302,7,900.285714285714
"890","HF-C-A-G-B",11179,14,798.5
"891","HF-C-A-H-A",1616,1,1616
"892","HF-C-A-H-B",1790,2,895
"893","HF-C-A-K-A",1618,3,539.333333333333
"894","HF-C-A-K-B",18512,7,2644.57142857143
"895","HF-C-B-A-B",5319,1,5319
"896","HF-C-B-G-A",996,1,996
"897","HF-C-B-H-B",515,1,515
