Finchtyp,mainfuel,watersys,tank,Finmhboi,count,countsamp,conf,EnergyType
Room heaters,electricity,electric immersion heater,No Tank,No boiler,3022,1,3022,F
Room heaters,electricity,electric immersion heater,Tank with Immersion Heater,No boiler,245856,105,2341.485714,F
Room heaters,electricity,instantaneous,No Tank,No boiler,39450,14,2817.857143,F
Room heaters,electricity,instantaneous,Tank without Immersion Heater,No boiler,1217,1,1217,F
Room heaters,gas (mains),dedicated boiler,Tank with Immersion Heater,No boiler,2478,2,1239,F
Room heaters,gas (mains),dedicated boiler,Tank without Immersion Heater,Back boiler,1643,1,1643,F
Room heaters,gas (mains),electric immersion heater,Tank with Immersion Heater,Standard,1952,1,1952,F
Room heaters,gas (mains),electric immersion heater,Tank with Immersion Heater,Combination,2036,1,2036,F
Room heaters,gas (mains),electric immersion heater,Tank with Immersion Heater,No boiler,58847,23,2558.565217,F
Room heaters,gas (mains),instantaneous,No Tank,No boiler,73668,27,2728.444444,F
Room heaters,gas (other),electric immersion heater,No Tank,No boiler,5863,1,5863,F
Room heaters,heating oil ,instantaneous,No Tank,No boiler,1579,1,1579,F
Room heaters,wood,dedicated boiler,Tank with Immersion Heater,Back boiler,1071,1,1071,F
Room heaters,wood,electric immersion heater,Tank with Immersion Heater,No boiler,3201,2,1600.5,F
No Answer,coal,dedicated boiler,Tank with Immersion Heater,No boiler,4038,2,2019,ZZ
No Answer,coal,electric immersion heater,Tank with Immersion Heater,No boiler,6035,3,2011.666667,ZZ
No Answer,electricity,dedicated boiler,Tank with Immersion Heater,No boiler,10018,6,1669.666667,ZZ
No Answer,electricity,electric immersion heater,No Tank,No boiler,49288,14,3520.571429,ZZ
No Answer,electricity,electric immersion heater,Tank with Immersion Heater,No boiler,103368,43,2403.906977,ZZ
No Answer,electricity,instantaneous,No Tank,No boiler,27163,10,2716.3,ZZ
No Answer,gas (mains),electric immersion heater,No Tank,No boiler,727,1,727,ZZ
No Answer,gas (mains),electric immersion heater,Tank with Immersion Heater,No boiler,4402,2,2201,ZZ
No Answer,gas (mains),instantaneous,No Tank,No boiler,4318,1,4318,ZZ
No Answer,gas (other),electric immersion heater,Tank with Immersion Heater,No boiler,2408,1,2408,ZZ
