name,degree.total,degree.in,degree.out,strength.total,strength.in,strength.out,between,Category
UoLondon,336,124,212,421.2,138,283.2,16532.69362,
OrivaldoBarros,311,99,212,466.8,160.2,306.6,6823.024215,
MBAAssociates,305,93,212,616.3,190,426.3,65218.17754,
BSBAArchitects,298,86,212,440,99.1,340.9,5327.016626,
WestfieldHealth,288,76,212,286.9,73.1,213.8,23453.97456,
GWP_PS,276,64,212,373.4,75.9,297.5,1067.655135,
philhardingnet,275,63,212,309.2,79.6,229.6,1649.612709,
HiveBRP,274,62,212,326.6,63.4,263.2,13.7162416,
Captain_Bhangra,270,58,212,247.5,58.9,188.6,16970.88967,
PlattCarl,261,49,212,434.3,66.6,367.7,31774.26059,
CraigPotter_1,259,47,212,327.3,67,260.3,1143.456445,
Ballantynes_,242,30,212,283.8,35.6,248.2,72.34441765,
BDRCContinental,242,30,212,237.5,25,212.5,11062.47804,
MandieGower,235,23,212,225.9,23.3,202.6,16878.77036,
KaseyKlimes,231,19,212,239.4,18.9,220.5,3748.052525,
caddenmatthew,223,11,212,246.1,14.3,231.8,0,
EY_UKI,581,370,211,698.3,456.9,241.4,101442.3198,
Mayors4Climate,451,240,211,1551.6,686.1,865.5,9169.828746,
UKParlEducation,448,237,211,483.6,265.5,218.1,133943.7257,
UKCIP,429,218,211,834.3,458,376.3,25288.9257,
PovertyLondon,405,194,211,577.4,284.9,292.5,20645.69386,
talkolderpeople,374,163,211,442.2,180.8,261.4,10011.80468,
urbancampaign,372,161,211,813.1,301,512.1,9616.4485,
ForboFlooringUK,350,139,211,513.8,192.3,321.5,78864.82358,
REAL_Aluminium,345,134,211,582.3,307.4,274.9,5582.541474,
BGF_team,338,127,211,354.9,130.8,224.1,11948.60187,
oneandother,327,116,211,343.6,131.6,212,12399.44687,
G_R_Morley,326,115,211,501.8,153,348.8,45376.64105,
SolaceWomensAid,299,88,211,398.5,103.4,295.1,50144.06566,
snowy7385,292,81,211,350.1,87.1,263,186.9380833,
aisha_vance,283,72,211,400.2,109.7,290.5,21534.48778,
UK_Glaa,283,72,211,334,116.7,217.3,8173.035729,
CPARKINSONBURY,278,67,211,279,68,211,12.75113287,
Jimmyscambridge,277,66,211,631.8,127.5,504.3,1093.55269,
EPlanna,274,63,211,640.6,82.6,558,12559.86542,
FieldBTN,273,62,211,353.3,66.2,287.1,33497.95643,
AllGasHull,268,57,211,276.2,58.9,217.3,2184.601736,
NicoleBadstuber,266,55,211,339.7,76.1,263.6,11466.09847,
THTaltrincham,258,47,211,347.1,78.6,268.5,1076.646438,
clrhcks,248,37,211,367.5,55.7,311.8,4604.95969,
RobbieGilligan,245,34,211,240.4,31.7,208.7,1636.715652,
elenikalyva,239,28,211,416.4,68.9,347.5,86.35296941,
ANEWApproachCIC,226,15,211,322.8,16,306.8,0,
Crossrail,1206,996,210,1626.9,1398.7,228.2,556572.5589,
DPMoffice,897,687,210,844.4,664.9,179.5,485587.3979,
AndrewBloch,759,549,210,483.4,296.7,186.7,957601.8297,
Ldn_Ambulance,745,535,210,652.6,443.2,209.4,703331.795,Junk
CommunityCare,704,494,210,707.8,500.7,207.1,13077.50649,
MichaelEMann,602,392,210,1196.9,812.5,384.4,45746.46686,
KingStHousing,507,297,210,915.3,520.7,394.6,2714.354589,
ricsamericas,430,220,210,1261.3,793,468.3,147823.782,
mod_in_metro,408,198,210,1063.1,413,650.1,158030.8574,
bosworthglass,358,148,210,1123.6,435.3,688.3,17257.44891,
PHA_NZ,355,145,210,1408.7,334.8,1073.9,54733.7011,
jimmybullard,349,139,210,363.9,137,226.9,55023.82151,
AmandaBrooksDIT,341,131,210,563.8,130.3,433.5,48634.11431,
Mike_Thommo,332,122,210,792.8,298.7,494.1,41247.15036,
placearch,331,121,210,460.3,135.5,324.8,16267.18086,
bwf_certifire,326,116,210,467.8,148.6,319.2,61602.45723,
MShipworth,323,113,210,612,251.6,360.4,35462.36519,
becki_breakwell,313,103,210,362.2,127.3,234.9,19266.88989,
theonlywitters,301,91,210,528.1,169.9,358.2,29641.83404,
jamiepierce1966,291,81,210,342.1,94.7,247.4,45695.07358,
The_SoPHE,284,74,210,367.4,90.5,276.9,28.16247278,
dbaHQ,279,69,210,346,89.9,256.1,2352.898472,
Access2ltd,270,60,210,343.9,64.9,279,16343.63523,
upnorthcomms,263,53,210,402.7,94.2,308.5,21289.26907,
hangfirebbq,261,51,210,279.7,59.3,220.4,1956.022536,
insso,260,50,210,327.1,73.5,253.6,706.7924333,
MelroseCons,259,49,210,275.4,54.1,221.3,0.826741044,
floormonsteruk,244,34,210,284.3,34.4,249.9,123.9345061,
Energ4Free,242,32,210,246.2,33,213.2,7.442437708,
2diversifyu,239,29,210,348.9,58.6,290.3,22572.79787,
basystemsUK,236,26,210,313.6,34.3,279.3,3418.975189,
FezReports,224,14,210,232.5,12.9,219.6,1665.155681,
LandsecGroup,1384,1175,209,1585.1,1263.5,321.6,70768.2249,
APHC_UK,951,742,209,2266.1,1435.7,830.4,141932.5835,
CitiesResearch,857,648,209,959,656.3,302.7,17815.09192,
100ResCities,816,607,209,1189.7,891.7,298,25283.62696,
JulieOwenMoylan,620,411,209,369.7,222,147.7,222245.2213,
andrewdunning,563,354,209,673.8,459,214.8,57634.80062,
johndunford,438,229,209,549.3,234.9,314.4,20264.42186,
Prezzybox,430,221,209,503.6,292.5,211.1,5112.76363,
SimplyBeUK,403,194,209,456.8,247,209.8,7150.961243,
FSB_Voice,381,172,209,593.9,308.9,285,121731.1203,
ExovaBMTRADA,375,166,209,436.6,163.7,272.9,16757.27233,
CathieSPRA,341,132,209,647,289,358,8959.050876,
bbciowm,308,99,209,300,99.8,200.2,7638.858939,
PaulAugarde,291,82,209,415.3,129.5,285.8,10215.39239,
Bristol_CCG,289,80,209,311.6,84.7,226.9,8733.506499,
ceocb,280,71,209,380.6,59.5,321.1,70161.4028,
jamile_tuma,280,71,209,424.6,105.9,318.7,51186.58612,
WRAP_Cymru,276,67,209,561.5,90.2,471.3,6057.393441,
ClimavenetaHVAC,269,60,209,379,80.1,298.9,2972.445045,
americanrivers,268,59,209,273.1,56,217.1,2054.643349,
CyArk,268,59,209,280.4,64.9,215.5,5913.068764,
MyHouseSucks,259,50,209,339.5,88.8,250.7,48.4483578,
THCL_Builders,255,46,209,384.8,68.5,316.3,9460.64658,
ReactiveGas,245,36,209,247.3,29.3,218,21030.04056,
CamCyrenians,241,32,209,333.1,27.9,305.2,9822.78686,
cornerrobot,223,14,209,323,24.3,298.7,15212.896,
pbonfieldbre,637,429,208,1350.2,844.4,505.8,109909.9861,
livingbuilding,589,381,208,882,548.1,333.9,498.6820943,
EnvAgencySE,585,377,208,723.5,441.6,281.9,70584.84106,
BCCNewsRoom,521,313,208,711.6,485.7,225.9,59687.74499,
NeelieKroesEU,457,249,208,454.1,241.8,212.3,40529.61731,
morton_wendy,449,241,208,476.3,243.2,233.1,55784.81886,
Moedas,423,215,208,786.6,483,303.6,167723.8118,
IAFarchitecture,419,211,208,1093.3,514.5,578.8,533.8848879,
WingsScotland,412,204,208,343.9,226.7,117.2,105694.6589,
Piersadler,377,169,208,548.3,281.8,266.5,818.5191695,
The_IMI,372,164,208,401.7,186.1,215.6,9906.040721,
AlexBaines,369,161,208,860.4,263,597.4,3376.147445,
DuchyCollege,364,156,208,390.2,174.5,215.7,8097.940498,
PlanningOut,357,149,208,797.8,402.6,395.2,477.5105429,
NoMorePly,352,144,208,2197.9,1144.9,1053,203736.1959,
stracma,347,139,208,2017.7,936.1,1081.6,3739.629643,
cyberawaregov,346,138,208,387.9,159,228.9,63414.53049,
corc101,342,134,208,449,151.2,297.8,8031.317881,
PolypipeTerrain,337,129,208,540.9,204.1,336.8,32510.9621,
SolarsenseUK,336,128,208,518.3,172.1,346.2,1026.869068,
PhilBoswellSNP,335,127,208,358.8,131.1,227.7,1156.708982,
hobsonporter,314,106,208,430.8,150.7,280.1,10774.10446,
EleanorHarding,303,95,208,306.7,96.5,210.2,209.3035243,
DockyardChatham,302,94,208,385.5,118.3,267.2,99090.39334,
katedpalmer,298,90,208,295.1,89,206.1,5405.996691,
TheBDMA,288,80,208,583.9,128.1,455.8,132141.0149,
LCHCUK,277,69,208,573.7,128.7,445,94.0455519,
RHartwig_IET,277,69,208,467.1,145.8,321.3,24861.9898,
grundfossteve,272,64,208,277.7,66,211.7,0,
Debbie_RCL,264,56,208,292,52.5,239.5,12160.69355,
dwoodhouse123,259,51,208,537.6,156.8,380.8,69389.24869,
CharitySoftball,236,28,208,250.1,28.9,221.2,717.3313534,
Isobel_CGC,233,25,208,226.3,22.8,203.5,8107.951686,
victoriagill_uk,226,18,208,224.5,18,206.5,0,
scarletbythesea,221,13,208,144.6,14.7,129.9,235.7595503,
BroadwayMalyan,773,566,207,1082.9,621.4,461.5,71082.38341,
AJFootprint,715,508,207,1017.4,578.8,438.6,395.4981952,
ODIHQ,648,441,207,745.2,519.7,225.5,64049.78891,
EAToday,589,382,207,813.4,505.2,308.2,77976.67461,
SimmondsMills,482,275,207,1494.5,925.9,568.6,165766.9268,
GraemePaton,472,265,207,473,265.8,207.2,3.219461488,
ClosedCircuitIH,435,228,207,503.5,276.4,227.1,7536.255492,
StrongTowns,428,221,207,635.7,402,233.7,18640.83399,
yorksprovender,423,216,207,454.2,242.2,212,36804.20857,
GethincJones,375,168,207,397.2,175.8,221.4,132541.3815,
jonculshaw,369,162,207,368.2,166.6,201.6,26812.00879,
KemperSystemUK,355,148,207,528.3,226.6,301.7,167.0360435,
OPGO1,346,139,207,659.1,160.6,498.5,84964.92329,
ccferrie,341,134,207,862.5,567.1,295.4,76031.44636,
LHCJobs,340,133,207,423.9,203.9,220,20006.62867,
ruralhousingni,337,130,207,1127.4,312.5,814.9,569.7828384,
sevenheating,332,125,207,344.4,126.7,217.7,4859.657562,
HMSinfo,326,119,207,525.8,229.6,296.2,21722.21511,
floodguidance,325,118,207,675.8,159,516.8,17520.92599,
ervinsk,323,116,207,462.4,168,294.4,4582.217982,
NatFedTaha,300,93,207,439,126.4,312.6,11350.54647,
UtopiaBritain,296,89,207,497.7,102.1,395.6,8.289778753,
EEperformance,292,85,207,719,130.3,588.7,405.4095568,
HelenJRF,289,82,207,337,87.2,249.8,4814.718553,
Slatescape,288,81,207,302.4,85.5,216.9,828.0738118,
DrFrond,283,76,207,310.1,79.2,230.9,29636.04942,
olliesaunders1,282,75,207,435.7,104.7,331,25382.72093,
