name,degree.total,degree.in,degree.out,strength.total,strength.in,strength.out,between,Category
ljrawlings,587,101,486,690.7,136.4,554.3,71898.73283,
LynseySweales,579,93,486,697.2,116.5,580.7,13320.85646,
KateLHaynes,579,93,486,648.6,97.6,551,19315.93,
ThatTeenGirl20,542,56,486,936,27.4,908.6,82726.0941,
KingspanIns_UK,1181,696,485,1611.8,1056.7,555.1,195175.7923,
HousingLIN,933,448,485,1903.4,1060.6,842.8,1604.927411,
ccsbestpractice,822,337,485,1174.3,595.2,579.1,69607.13138,
willquince,798,313,485,982.6,406,576.6,141797.4291,
LiquidPlastics,731,246,485,1153.7,394.2,759.5,4027.415244,
AnneDuffield1,728,243,485,1182,458.8,723.2,143480.6117,
ecohausuk,673,188,485,1070.6,487.9,582.7,47.1020869,
Rachel1383,629,144,485,1145.9,154.6,991.3,71213.36241,
EvidenceMatters,624,139,485,617.2,143.2,474,66.62279531,
jrfanne,570,85,485,625.6,88.2,537.4,11566.57218,
WMCollege,539,54,485,604.3,55.2,549.1,8618.958484,
AHMMArchitects,1494,1010,484,2246.9,1284.7,962.2,19671.68375,
ICE_London,977,493,484,1878.1,948,930.1,229770.0125,
HPSMerchant,848,364,484,1414.4,430,984.4,73222.62414,
DarrenJohnson66,800,316,484,754,334,420,113590.2188,
toolfair,768,284,484,1368.3,401.7,966.6,23882.61576,
BlindsInGlass,764,280,484,1791.7,1053.8,737.9,221195.1675,
JohnMcelgunn,727,243,484,1538.8,609.9,928.9,207715.1676,
C_L_Sinn,678,194,484,994.9,280.1,714.8,8582.664266,
JoannePrestidge,672,188,484,1486,530.7,955.3,13316.81488,
VisitLiverpool,669,185,484,821.8,255.8,566,85862.30793,
nwtraining11,621,137,484,733.1,145.4,587.7,24554.52809,
RuT_College,615,131,484,623.6,125.7,497.9,39922.37643,
LiannaBrinded,601,117,484,696.4,103,593.4,94043.01315,
energyshopping,595,111,484,838.3,194.7,643.6,61.25430569,
dugganmorrisarc,1070,587,483,1645.2,876.8,768.4,20281.33518,
Calico_Group,806,323,483,1033.7,382.4,651.3,78239.04412,
eamonncanniffe,804,321,483,980.3,421.1,559.2,181020.5618,
SpecialisedPR5,789,306,483,1074,475.9,598.1,113334.6083,
MrMichaelShaw,769,286,483,774.2,274.4,499.8,35565.44249,
CIRIAnetwork,760,277,483,1552.5,620.2,932.3,130836.5024,
DIYDoctor,728,245,483,1046,528.5,517.5,3841.89918,
davidbickle,712,229,483,1255.6,357.3,898.3,78886.05021,
March8eight,686,203,483,1366.2,417,949.2,129659.9119,
NaturalCement,615,132,483,785.7,136.8,648.9,37912.70897,
greenreccompany,605,122,483,711.7,136.5,575.2,1419.575159,
Lisa15781,602,119,483,927.4,86.8,840.6,178241.3511,
FinemanRoss,537,54,483,575.9,52.5,523.4,853.5811818,
NBTLtd,1031,549,482,1717.9,913.1,804.8,22676.66146,
natfedMairead,926,444,482,1784.9,787.8,997.1,40058.0309,
ABridgen,889,407,482,901.2,407,494.2,33139.08807,
charlie_MSV,884,402,482,2797.2,949.2,1848,104528.2303,
fisorg,872,390,482,1910.4,1014.1,896.3,235419.5476,
OccupyLondon,853,371,482,957.8,439.2,518.6,73189.47692,
GreenTecBuild,840,358,482,1069.7,420.7,649,10500.4976,
DanMilmo,733,251,482,717,246,471,11996.03085,
FoyerFederation,719,237,482,1097.1,408.7,688.4,32720.73827,
EcoFairUK,591,109,482,783.8,130.1,653.7,37.07573471,
jamespthomasarc,531,49,482,567.3,46.3,521,10164.60143,
BuildingUK,1213,732,481,1276.9,754,522.9,1350.428741,
virtuarch,848,367,481,1366.4,610,756.4,35174.21118,
nfum,842,361,481,831.8,364.4,467.4,458966.6964,
LYHAtweets,815,334,481,2042.4,737.5,1304.9,78226.7019,
DavenportJuliet,770,289,481,1748.4,341.1,1407.3,44825.10284,
SEHBAC,736,255,481,1012.3,386.4,625.9,93144.03116,
Sime_Boilers,721,240,481,745,245.9,499.1,23570.07192,
rebecca_best1,679,198,481,882.2,227.9,654.3,12943.36384,
JennaKateKelly,645,164,481,1014.2,154.1,860.1,12484.0977,
HousingStirUni,634,153,481,1077,211.8,865.2,65.2774745,
REFhousing,607,126,481,840,151,689,85.66484387,
MichelleLowe14,591,110,481,885.1,242.4,642.7,54129.8678,
hansmollman,1189,709,480,1182.9,650.2,532.7,285317.8626,
RSPCA_official,1058,578,480,1013.9,548.4,465.5,545233.1614,
BauderLtd,848,368,480,1165.6,484.5,681.1,31347.77162,
Intergasheating,812,332,480,1285,574.2,710.8,11323.964,
Distinctboxes,798,318,480,761.5,302,459.5,173309.1797,
greendealadvice,713,233,480,773.3,281,492.3,540.461306,
HolyroodLiam,661,181,480,751.9,241.5,510.4,23703.03876,
benitamatofska,656,176,480,828.5,264.2,564.3,885.7652939,
vicky_duckworth,652,172,480,837.7,214.4,623.3,146429.593,
faiselr,637,157,480,536.4,168.4,368,56950.34028,
maiellamipiace,580,100,480,619.8,162.7,457.1,135042.7264,
JenniferAllsopp,559,79,480,578.9,75.1,503.8,5737.629547,
GreenandBlueUK,549,69,480,746.1,112,634.1,6684.801313,
inkedandspeccy,539,59,480,643.2,37.7,605.5,25576.182,
BoardroomMum,533,53,480,528.4,50.3,478.1,2796.344393,
everymatchboy,519,39,480,628.8,38.4,590.4,12034.75139,
MattHancock,1952,1473,479,2156.3,1677,479.3,256605.0822,
hyde_architects,1184,705,479,1502.6,885.6,617,3139.029397,
J_Bloodworth,1059,580,479,1072.6,543.2,529.4,227288.9785,
LSBU,842,363,479,1074.3,449.2,625.1,112291.9912,
WritersofColour,799,320,479,768.9,338.5,430.4,77745.54274,
Ontap_Group,739,260,479,765.6,290.2,475.4,13057.1452,
MrsRJenko,648,169,479,1171.1,454.9,716.2,42187.66177,
mike_reader,639,160,479,886.8,206.1,680.7,137162.7648,
ESFAgov,1448,970,478,1595,989.5,605.5,71118.48255,
timesredbox,1356,878,478,1284.3,854.5,429.8,226951.79,
vinspired,1149,671,478,1218.2,685.5,532.7,162689.3543,
RussellGroup,1148,670,478,1409.6,721.9,687.7,71711.95593,
KateOsamor,883,405,478,1080.4,450.9,629.5,223217.4276,
SolarAid,831,353,478,1431.1,690.1,741,2738.894662,
CormacRussell,769,291,478,919.8,395.4,524.4,22087.62418,
jonathan_lawn,732,254,478,1607.1,443,1164.1,122265.2804,
justspace7,678,200,478,1102.6,310,792.6,217999.7193,
BenBrabyn,612,134,478,821.3,198.3,623,21026.27873,
MarkTulayESG,579,101,478,707.1,105.6,601.5,96.59538563,
CateMcAlin,520,42,478,824,32.9,791.1,17144.14453,
Jesse_Norman,1378,901,477,1402.5,940.8,461.7,63350.54542,
PennyRed,1357,880,477,1364.7,895.5,469.2,44084.0003,
STVNews,1105,628,477,1196.1,719.9,476.2,52366.27476,
thismorning,1042,565,477,1061.5,546.4,515.1,183532.7063,
CIHLondon,932,455,477,3393.1,558.2,2834.9,36746.69129,
FayeGreavesCIH,925,448,477,3489.3,1526.3,1963,108554.0431,
rbhousing,872,395,477,1720.3,794.4,925.9,20421.11874,
Marshadecordova,847,370,477,1272.2,581.1,691.1,60732.73021,
mcsuk,812,335,477,915.8,406.3,509.5,124209.8966,
Forbes_Duncan,792,315,477,1460,414.5,1045.5,123573.4437,
Rob_Celotex,769,292,477,1503.6,487.5,1016.1,71206.1082,
smitajamdar,768,291,477,764.4,325.8,438.6,189961.6908,
DavidRussellETF,742,265,477,870.1,277.9,592.2,139486.5937,
tommacinnes,692,215,477,756.3,244.2,512.1,97861.73305,
AvonsideGroup,665,188,477,786.5,223.1,563.4,495.6907061,
_RossWilliams79,658,181,477,1107.8,462.5,645.3,60876.85406,
Moneypenny,622,145,477,723.8,162.6,561.2,207991.6027,
SFWcomms,620,143,477,1576.5,399.4,1177.1,22577.9917,
longrakespar,595,118,477,718.1,150.3,567.8,36928.01799,
BuckleysLtd,592,115,477,659.2,129,530.2,14828.02118,
greensmith68,571,94,477,919.6,59.3,860.3,41987.72153,
acrim,564,87,477,610.4,93.6,516.8,4672.040862,
Culture2vultur1,501,24,477,542.9,23.7,519.2,5734.883284,
jstands4jay,490,13,477,473.8,9.1,464.7,4892.444167,
suzanne_moore,1370,894,476,1402.1,849.3,552.8,277971.7454,
StopFundingHate,1114,638,476,1275,775.6,499.4,79634.69681,
Edu_Employers,929,453,476,948.8,459.4,489.4,163390.6279,
fitshow,885,409,476,2533.4,1137.7,1395.7,18368.65926,
HVROnlineEditor,818,342,476,1014.1,462.1,552,46028.54448,
CoStarUK,772,296,476,881,351.2,529.8,46650.44234,
CIOBInspire,718,242,476,885.2,347.4,537.8,5086.542563,
Gibb6781,706,230,476,1514.3,424.9,1089.4,36886.65311,
CUPAPIZARRAS_en,675,199,476,1003.9,436,567.9,2628.928926,
AutomaticDoorCo,630,154,476,767.3,176.5,590.8,226937.4335,
betonykelly,599,123,476,655.7,138.8,516.9,6206.884297,
EnergyExpertUK,573,97,476,685.8,106.3,579.5,379.9043349,
JustSammeh1,566,90,476,625.9,61.5,564.4,3995.859807,
JohnSwallow4,499,23,476,549.3,22.3,527,121.5400002,
balfourbeatty,2539,2064,475,2858.3,2305.5,552.8,486510.4502,
DiabetesUK,987,512,475,951,497.5,453.5,183898.0861,
NCA_UK,802,327,475,832.3,338.3,494,48206.8239,
BIM4FItOut,705,230,475,1280.5,307.4,973.1,154667.307,
FionaAldridge,693,218,475,935.1,303.5,631.6,208042.0796,
NCFDiversity,677,202,475,849.4,321.6,527.8,135496.892,
si_francis,637,162,475,605.5,163.4,442.1,79840.92505,
CroftonsLegal,635,160,475,929.6,207.3,722.3,40713.64289,
buxtonbuildbase,563,88,475,740.3,90.2,650.1,28669.26041,
BmCousins,525,50,475,771.3,28,743.3,9309.246096,
johnkampfner,800,326,474,805.4,352.6,452.8,59284.31993,
OfficialCCHA,769,295,474,899.8,360.7,539.1,4522.389557,
Victorianplumb,721,247,474,763.8,280.9,482.9,14121.62788,
GIPartnership,689,215,474,1404.8,497.4,907.4,5560.984104,
von_tweethoff,679,205,474,1245.5,325.1,920.4,238008.7278,
motoway,662,188,474,745.8,246.5,499.3,26388.55473,
katie_boswell,592,118,474,692.3,128.2,564.1,96904.673,
Ecothrifty,569,95,474,791.7,107.2,684.5,5554.845665,
EnglishNitro,528,54,474,754.9,39.2,715.7,7872.852739,
Fletchian66,503,29,474,575.8,29.9,545.9,31047.69305,
UKConstructionm,1612,1139,473,3583.5,3077.4,506.1,9727.30221,
matthaig1,1593,1120,473,1444,979.1,464.9,607690.2734,
PGSMurray,1530,1057,473,2713.8,1688.6,1025.2,425732.3995,
MariaMillerUK,1076,603,473,1110,642.3,467.7,231241.9064,
LevittBernstein,1045,572,473,1849.5,1014.7,834.8,138929.8887,
howardjohns,938,465,473,2329.2,1017.9,1311.3,49225.39774,
LSEInequalities,779,306,473,1111.6,451,660.6,63636.73765,
IntlTimber,752,279,473,1157.6,418.3,739.3,143208.2689,
Lettice_Swan,661,188,473,1262,346,916,40242.7015,
GreenHForum,658,185,473,988.4,376.6,611.8,205.6477455,
gfletchworthgc,640,167,473,911.4,191,720.4,32562.76682,
tracyplayle,632,159,473,642.2,167.3,474.9,8550.764268,
NJLConsulting,603,130,473,1154.4,159.5,994.9,31156.92413,
MarijaAnta,503,30,473,526.2,31.9,494.3,1655.329537,
energyforlondon,1034,562,472,3368.2,1941.9,1426.3,40866.70515,
frankcurran,802,330,472,854.3,366.5,487.8,17999.05887,
PDSdoorsets,747,275,472,1009.5,440.7,568.8,12692.73816,
hangbitch,686,214,472,752.3,230.9,521.4,12500.50174,
LondonSDC,669,197,472,1050.3,239.9,810.4,15209.25646,
gareth_coastal,642,170,472,1419.5,447.3,972.2,33240.2677,
Penny_Allison,640,168,472,858.5,267.6,590.9,352081.8835,
mammuthus,520,48,472,479.4,72.3,407.1,123019.5791,
rickwheatley,513,41,472,956.7,56.9,899.8,0,
emmmaaa26,485,13,472,873.8,9.5,864.3,25.25170066,
kiranstacey,1041,570,471,1079.5,603.6,475.9,11052.58842,
SpecifiDay,869,398,471,1311.1,576.4,734.7,131336.1186,
SamuelMarcLowe,822,351,471,1103.7,493.1,610.6,34955.63904,
MarkP_Muir,787,316,471,1220.6,441.9,778.7,26296.18467,
GudrunBurnet,781,310,471,2621.1,1089.3,1531.8,78333.83964,
robzowski,727,256,471,1517,590.7,926.3,30931.00656,
Universalarches,727,256,471,1270.8,349.9,920.9,17386.89753,
TheNHIC,713,242,471,2980.3,448.4,2531.9,320969.064,
GarethKane,711,240,471,994.8,337.5,657.3,45873.76436,
ELNPri,687,216,471,1198.7,527.6,671.1,9770.094937,
suzanne_DSmith,677,206,471,1425.4,369.1,1056.3,21010.34567,
HolyroodTom,611,140,471,640.8,155.8,485,38381.53004,
ManagingAgent,580,109,471,682.2,118.5,563.7,11491.64698,
myGrantUK,1091,621,470,1484.8,745.5,739.3,85519.72115,
JoStevensLabour,1070,600,470,1121.7,622.3,499.4,562144.0318,
GreenBizWorld,994,524,470,1082.4,612.4,470,1227.425425,
solarcentury,933,463,470,2242,884.7,1357.3,3615.412334,
scottishlabour,891,421,470,1051.4,516.3,535.1,27269.936,
HBXL,634,164,470,804.6,204.2,600.4,1452.735961,
robdoylev,593,123,470,755.9,133.1,622.8,65172.85243,
Smithster76,578,108,470,1210.7,187.8,1022.9,33410.79917,
IdealcombiUK,554,84,470,701.3,111.6,589.7,66.19232139,
danielbentley,916,447,469,2334.2,1138.7,1195.5,101824.9214,
GradySNP,733,264,469,963.9,326.2,637.7,45784.51631,
padlynch,725,256,469,1010.5,460.8,549.7,44880.07088,
NIBEEnergy,633,164,469,832.2,217.4,614.8,117.9460926,
myglazing,621,152,469,998.1,421,577.1,2914.525753,
PhilBixby,617,148,469,712.5,278,434.5,214197.559,
solarshader,613,144,469,926.1,164.3,761.8,419719.176,
builtbyusUK,602,133,469,1186.4,407.9,778.5,3464.980047,
JustFairUK,581,112,469,772.7,132.4,640.3,22926.94843,
EntForumUK,579,110,469,761.8,111.2,650.6,3613.643795,
MerlinHousing,1028,560,468,1558.7,906.3,652.4,9597.871402,
DamianGreen,977,509,468,1157.8,559.5,598.3,35467.34562,
HeatingControls,854,386,468,2831.9,746.6,2085.3,33678.9504,
WPlumbingDay,785,317,468,1083.3,530.1,553.2,573.4534649,
owenboswarva,778,310,468,843.6,350.3,493.3,477526.9454,
aldwyckofficial,763,295,468,1037.4,368.9,668.5,63530.05507,
BWPHSERVICES,752,284,468,796.8,286.5,510.3,5926.594727,
nigelmp,651,183,468,735.1,174.5,560.6,38005.41768,
markcwalton,634,166,468,976.5,255.9,720.6,67140.14246,
AirTightness,611,143,468,627.1,147.5,479.6,757.2174105,
hsahello,604,136,468,855,172.6,682.4,40409.68403,
msClaireGibb,551,83,468,417.8,78.3,339.5,21992.02706,
kathc4,521,53,468,1026.4,24.9,1001.5,27202.49403,
StephenRW01,927,460,467,930.5,481.8,448.7,68136.80757,
DR_Plumbing,780,313,467,1585.9,609.6,976.3,20456.27371,
SussexNRGGroup,752,285,467,1191.7,543.4,648.3,418.7988006,
constructionERC,716,249,467,1861.9,805.8,1056.1,150251.3331,
McAleerRushe,692,225,467,972.7,255.4,717.3,31617.94898,
Practademia,666,199,467,1197,436.9,760.1,45762.58548,
Jake_DGCOS,550,83,467,638.7,84.1,554.6,164.5990208,
jenniferpanting,520,53,467,441.5,49.8,391.7,89083.17192,
benedictbrogan,1414,948,466,1426.7,944.6,482.1,7964.199021,
BuildbaseUK,1051,585,466,1153.6,640.6,513,145970.8822,
HomeAdore,1019,553,466,3416,2950,466,14786.12521,
pilitaclark,1002,536,466,1231.7,759.5,472.2,11463.36898,
URBEDmcr,914,448,466,1398.7,642,756.7,36200.40361,
JG_THE,778,312,466,920.5,329,591.5,61164.62986,
workingfamUK,702,236,466,742.2,245,497.2,56785.67558,
HWUrbanEnergy,698,232,466,1292.2,426.6,865.6,280.393091,
saving_energy,686,220,466,741.1,230,511.1,951.6463636,
LynnJaneR,671,205,466,1141.4,329.3,812.1,515283.619,
RailLeaders,640,174,466,861.2,298.9,562.3,107222.658,
weareWDI,607,141,466,809.2,180,629.2,55302.79258,
ZSTaUK,603,137,466,1084.5,443.7,640.8,16844.51503,
Alexlb20,594,128,466,743.5,88.2,655.3,78693.76508,
Vanessa_Shelter,588,122,466,1121.6,133.1,988.5,81623.88601,
harrylake_11,571,105,466,631.6,113.5,518.1,40.50462211,
jesschivers,558,92,466,562.1,80.9,481.2,67977.94786,
dgcos,466,0,466,715.7,0,715.7,0,
BarbourABI,1701,1236,465,3889.2,3026.6,862.6,45280.55369,
UnLtd,1213,748,465,1570.1,1021,549.1,190709.3153,
PrincesFound,1000,535,465,1620.1,785.5,834.6,26222.67313,
danielkemp21,936,471,465,1398.5,668.4,730.1,240884.6804,
tradefituk,791,326,465,1165.9,466.2,699.7,203358.502,
tontita00,766,301,465,1449.2,467.8,981.4,142700.1382,
ecorenewables,598,133,465,719.4,171.3,548.1,2398.221232,
Lindsays_home,589,124,465,969.7,311.2,658.5,16976.28893,
chy_uk,585,120,465,853.9,188.3,665.6,11593.7377,
tom_hiles,582,117,465,659,162.3,496.7,3005.510917,
HousingSystems,559,94,465,630,118.7,511.3,81.16754757,
Axis__Design,516,51,465,518.1,52,466.1,61.74206318,
BeddyMike,512,47,465,567.2,44.3,522.9,12030.22894,
MarkSiddallRIBA,1226,762,464,2353.6,1281.5,1072.1,36059.55138,
LettersOfNote,1097,633,464,942.2,509.5,432.7,263539.2339,
henrymance,1078,614,464,986.8,518.6,468.2,294906.8171,
iainwithers,1009,545,464,1139.3,557.9,581.4,144.8884162,
EverlastGroup,844,380,464,1102.8,596.7,506.1,14749.44913,
FCOClimate,832,368,464,1953,601.5,1351.5,2412.596038,
ClearlySo,825,361,464,1039.2,491.4,547.8,42922.31539,
PaulWheelhouse,807,343,464,1633.5,628.1,1005.4,160253.3541,
redrumlisa,781,317,464,1337.4,522.8,814.6,74435.05356,
drakesplumbing,752,288,464,960.1,377.1,583,11585.21656,
Alex_boilers,726,262,464,884.4,267.5,616.9,82563.47394,
KateTay73593006,711,247,464,1235.8,441.5,794.3,174427.4818,
AnnRobinson8,708,244,464,998.3,423.8,574.5,120657.3499,
DEarchitects,702,238,464,1403.3,535.5,867.8,3698.314827,
ty_goddard,687,223,464,811.6,309.6,502,138939.7337,
AlexDNesbitt,619,155,464,759.7,200.5,559.2,14734.93038,
PaulStreets_,616,152,464,945.1,258.8,686.3,38238.74539,
n76seary,530,66,464,773.9,55.4,718.5,24651.79344,
StewartWood,1408,945,463,1561,1100.5,460.5,245910.333,
lorddeben,1269,806,463,1539.4,1057.3,482.1,234044.5779,
fleetstreetfox,1208,745,463,1151.6,705.3,446.3,106485.5192,
CCriadoPerez,1107,644,463,1193.1,700.2,492.9,185807.4827,
adrian_e_arch,992,529,463,1124.1,658.1,466,1258.447655,
Muse_Devs,974,511,463,1605.5,694.4,911.1,150434.8941,
The_SH_Lawyer,925,462,463,1696.6,869.4,827.2,97101.55036,
EnvAgencyNW,828,365,463,1237.6,605.7,631.9,81858.97279,
YSPsculpture,776,313,463,892.2,359.7,532.5,39750.74112,
kantrellk,757,294,463,1799.7,481.2,1318.5,43920.32112,
SEMLEP,709,246,463,886.4,331.8,554.6,69194.80062,
HousingLINews,680,217,463,1184.1,489.1,695,5714.072423,
npower_nbs,654,191,463,1014.2,306.4,707.8,24658.72781,
ConservativesIN,632,169,463,839.2,271.3,567.9,28704.915,
ferrerorocker,624,161,463,807.7,113.9,693.8,106792.4717,
jriggers,555,92,463,561.5,89.6,471.9,11769.93887,
jonathanwerran,553,90,463,593.6,95.6,498,18534.74475,
BlueprintMEP,539,76,463,569.5,71.7,497.8,2621.095767,
magical2727,503,40,463,657.5,28.9,628.6,23382.71567,
DavidWooding,1112,650,462,1201.1,673.5,527.6,55082.40183,
NEA_UKCharity,1055,593,462,2494.6,1633.1,861.5,216231.3159,
ScoConstructNow,970,508,462,1930.9,1396.8,534.1,92647.06172,
iealondon,951,489,462,1041.3,546.4,494.9,22957.88431,
KateBWebb,903,441,462,1643.2,824.8,818.4,59599.04888,
GasSafetyTrust,862,400,462,933.2,417.2,516,67413.53697,
SueRiddlestone,709,247,462,1467.3,711.7,755.6,82021.14153,
AaronCHC,692,230,462,1606.3,637.6,968.7,59804.99347,
AlumascWMS,692,230,462,1229.8,562.7,667.1,67309.95876,
s_inglethorpe,590,128,462,602.6,130.1,472.5,98144.79654,
Gradient_UK,568,106,462,647.5,175.2,472.3,5563.624204,
louiselharding,567,105,462,1092.7,177.4,915.3,209061.9445,
ShyamVisavadia,566,104,462,739.8,120.8,619,2887.031596,
Andrew_Adonis,2036,1575,461,2246.6,1797,449.6,787715.5831,Government
KateTCPA,1170,709,461,2172.9,1600.5,572.4,61913.72554,
DamianHinds,926,465,461,945,473.3,471.7,28169.46981,
SerpentineUK,915,454,461,1092,552,540,201993.0531,
DrBoilers,842,381,461,5620.5,3291,2329.5,53116.37016,
FrancisShaw,725,264,461,784.1,309.1,475,274.6615618,
pureleapfrog,724,263,461,1500.6,427.7,1072.9,13936.87445,
CIOBMidlands,710,249,461,2062.7,339.8,1722.9,107572.1718,
mlchandler01,628,167,461,1183.3,417.2,766.1,84682.65779,
julian_kirby,554,93,461,721.3,100.6,620.7,12495.39898,
kerriahall,549,88,461,648.9,96.8,552.1,68126.02988,
TevvaMotors,525,64,461,668.2,91.1,577.1,47672.00207,
michelleecowley,516,55,461,614.7,92,522.7,1032.487566,
Eleanor_Campion,491,30,461,654,42.8,611.2,27578.53191,
Sammy_Jones3201,484,23,461,682.1,16.7,665.4,21070.43019,
Demos,2004,1544,460,2106.2,1648.7,457.5,113600.4549,
KeepmoatHomes,1612,1152,460,1916.9,1320.6,596.3,1972.296406,
ThePoke,1369,909,460,1071.9,719.2,352.7,1297798.354,Junk
shelterscotland,955,495,460,2256.3,1387.2,869.1,86345.91635,
JasonGroves1,912,452,460,861,402,459,44026.11351,
Grosvenor_GBI,744,284,460,1055.6,455.4,600.2,51057.77749,
mikeweirsnp,713,253,460,873.5,275,598.5,35886.25062,
noscalerule,706,246,460,1045.8,289.5,756.3,65761.47978,
ICEScotland,696,236,460,1268.1,331.4,936.7,50047.27762,
nfbbands,658,198,460,1194.5,428.3,766.2,46740.49651,
James_A_Rogers,618,158,460,607.3,171.1,436.2,26612.71342,
thetvia,571,111,460,864.8,175,689.8,68014.42814,
AnnaLABCW,549,89,460,859.1,117.3,741.8,1566.315779,
duncanadams,526,66,460,594.2,81.3,512.9,14273.84245,
mbedarchitects,517,57,460,703,63.4,639.6,5253.693143,
ArchRecord,1631,1172,459,2028.2,1538.8,489.4,1011.045575,
BSRIALtd,985,526,459,1246.4,713.9,532.5,66741.90524,
davidkohnarch,959,500,459,1272.1,563.3,708.8,15101.64164,
scottygb,932,473,459,830.7,332.6,498.1,383530.593,
CarterJonas,796,337,459,1034.4,433,601.4,23700.75491,
TCCDailyNews,759,300,459,843,384,459,2095.266995,
ukineu,739,280,459,885.3,345.6,539.7,8475.674157,
RichardHebditch,702,243,459,905.4,291.4,614,140085.0464,
stiebeleltronuk,661,202,459,802.3,216.4,585.9,761.9325808,
Samuelship,651,192,459,874.5,273.2,601.3,185460.6226,
PETERKENTINFO,621,162,459,1162.2,229.3,932.9,151426.4241,
Bella_Longman,599,140,459,582.7,205,377.7,49308.29394,
MadThatter10,553,94,459,884.2,83.7,800.5,9054.496411,
SheSurveys,531,72,459,611.8,79.3,532.5,8212.328223,
SoMoneySaving,511,52,459,646.6,50.6,596,30068.61012,
JonWilcox_,484,25,459,331.1,25.9,305.2,9897.907653,
Archello,914,456,458,1173.9,682.7,491.2,41509.54647,
AbundanceInv,810,352,458,1118.4,552.3,566.1,19843.36752,
totalbuilding1,721,263,458,762.4,281.6,480.8,2565.084089,
sbmsearch,720,262,458,771,313,458,578.2792628,
BMetC,696,238,458,810.5,260.9,549.6,50829.69901,
ems_wales,665,207,458,1613,424.5,1188.5,5295.87611,
HWYSUK,642,184,458,757.1,219.2,537.9,26032.26637,
furby2009,538,80,458,832.2,61,771.2,70189.72198,
hartarchitect,528,70,458,719.7,76.3,643.4,22808.28441,
Sue_Turb,466,8,458,422.4,7.7,414.7,3595.920281,
StephenHamilNBS,1075,618,457,2064.2,951.6,1112.6,300775.0441,
SCrabbPembs,1072,615,457,1119.8,626.1,493.7,169077.3549,
RichardMair1,685,228,457,1293.9,350.4,943.5,27131.37174,
FLUIDmentoring,633,176,457,1059.5,266.8,792.7,36909.45319,
P_Haddock,631,174,457,1023.2,281.1,742.1,41059.15708,
GavAitchison,631,174,457,664.8,174.3,490.5,37973.04043,
TateHarmer,626,169,457,902.9,199.5,703.4,4469.04214,
RachelOrbit,596,139,457,1068.5,267.5,801,73621.90657,
LTS_Arch,593,136,457,743.4,163.9,579.5,8441.789799,
MandaBrookman,511,54,457,796,95.7,700.3,21514.48969,
bobbyb68867864,487,30,457,485.5,26.3,459.2,1237.746728,
Politics_co_uk,1211,755,456,1153.9,731.1,422.8,113410.4054,
NHA_llp,1178,722,456,1559.1,906.2,652.9,10705.26565,
watsonjim2,858,402,456,2125.1,826.5,1298.6,97018.34776,
IESVE,845,389,456,1172,534.5,637.5,20792.02802,
MikeOwen2390,791,335,456,1563.6,777.7,785.9,54425.74089,
DamienFinnegan_,642,186,456,1276.5,219.6,1056.9,24426.51115,
JCWI_UK,636,180,456,717.4,200.5,516.9,40833.83448,
sweale,627,171,456,612.9,171.3,441.6,7987.041056,
Nice2c_1,482,26,456,863.9,20.8,843.1,17764.40627,
StigAbell,1764,1309,455,1392.7,980.7,412,746106.4809,Media
CullinanStudio,1222,767,455,1747.6,923.3,824.3,96387.70553,
fletcherr,1034,579,455,1404.8,740.1,664.7,123951.5276,
GetMyFirstJob,722,267,455,1003.1,550.4,452.7,135210.1848,
JohnBrashTimber,713,258,455,859.9,311.9,548,336.0487025,
juliefutcher,628,173,455,1270.5,362.1,908.4,198968.1604,
AreaSq,620,165,455,680.7,183.5,497.2,31887.75671,
PropertyVoiceUK,613,158,455,1166.3,684.7,481.6,2567.211471,
walesepa,611,156,455,961,255.4,705.6,38347.85922,
simpsonyorkltd,572,117,455,611,134.2,476.8,6976.270369,
ladderstore,558,103,455,661.5,169.5,492,28096.90786,
Josh__Atkins,551,96,455,865.2,150.2,715,56702.41744,
ukbuilding,533,78,455,724.2,106.6,617.6,5880.74098,
richardosman,1662,1208,454,1542.8,1077.7,465.1,534605.2821,
MorrisseyHelena,943,489,454,1013.7,498.7,515,132386.073,
EHSmith,852,398,454,1098.7,526.2,572.5,43830.94523,
MarkWarren3,826,372,454,2251.8,1015,1236.8,189857.6947,
ARCWindowFilms,826,372,454,927.5,426.5,501,264110.4597,
SEIresearch,782,328,454,1111.5,489.9,621.6,13010.35227,
ScapeCEO,752,298,454,1044.5,504,540.5,80940.38963,
DCHnews,736,282,454,1407.6,699.7,707.9,17585.18924,
jamesgleave1,599,145,454,567.2,131.9,435.3,293165.8646,
JJhamilton,589,135,454,600.4,135.4,465,3915.464432,
MagentaComms,551,97,454,640.9,125,515.9,34287.97012,
askcolinnoble,544,90,454,611.9,89.3,522.6,20107.4808,
Ellen_Carroll,522,68,454,540.7,62,478.7,25875.56899,
instituteforgov,1689,1236,453,1868.5,1390.6,477.9,443362.7597,
jillongovt,973,520,453,1158,620,538,136853.4563,
nickygavron,877,424,453,1117.5,509,608.5,23939.02544,
JessicaLennard,822,369,453,882.7,469.8,412.9,177770.8967,
Ed_Suttie,691,238,453,1070.9,440,630.9,12797.78174,
Tasmin_IGP,675,222,453,1404,479.1,924.9,45012.39411,
GMBCouncillors,654,201,453,668.6,199.9,468.7,9109.361419,
ajfleet,597,144,453,709.5,169.7,539.8,86358.58122,
