"archcode","ndwel","nsample","age.Q1","age.Q2","age.Q3","sap.Q1","sap.Q2","sap.Q3","windows.Q1","windows.Q2","windows.Q3","doors.Q1","doors.Q2","doors.Q3","floorarea.Q1","floorarea.Q2","floorarea.Q3","groundfloorarea.Q1","groundfloorarea.Q2","groundfloorarea.Q3","control.Q1","control.Q2","control.Q3","radcontrol.Q1","radcontrol.Q2","radcontrol.Q3","solararea.Q1","solararea.Q2","solararea.Q3","intwallarea.Q1","intwallarea.Q2","intwallarea.Q3","intwallarea.extwalls.Q1","intwallarea.extwalls.Q2","intwallarea.extwalls.Q3","intwallarea.extpartywalls.Q1","intwallarea.extpartywalls.Q2","intwallarea.extpartywalls.Q3","intwallarea.frontwall.Q1","intwallarea.frontwall.Q2","intwallarea.frontwall.Q3","extwallarea.Q1","extwallarea.Q2","extwallarea.Q3","extwallarea.front.Q1","extwallarea.front.Q2","extwallarea.front.Q3","extwallarea.exceptfront.Q1","extwallarea.exceptfront.Q2","extwallarea.exceptfront.Q3","extwindowarea.Q1","extwindowarea.Q2","extwindowarea.Q3","dpcperim.Q1","dpcperim.Q2","dpcperim.Q3","nfloors.Q1","nfloors.Q2","nfloors.Q3","roofareaplan.Q1","roofareaplan.Q2","roofareaplan.Q3","roofareaslope.Q1","roofareaslope.Q2","roofareaslope.Q3","ceilingground.Q1","ceilingground.Q2","ceilingground.Q3","ceilingfirst.Q1","ceilingfirst.Q2","ceilingfirst.Q3","imd.Q1","imd.Q2","imd.Q3","gasgrid.yes","tank.wellins","wallins","loftins","citycentre","otherurban","suburban","ruralres","villagecentre","rural","own","rent.private","rent.la","rent.rsl"
"B-A-B-A-A-B-B",24844,7,1925,1931,1936,53.81,59.49,59.74,16,25,30,2,2,2,115.5,138.52,175.06,57.75,69.26,87.53,5,5,5,1,2,2,14.4375,17.315,21.8825,240.99,269.44,331.91,163.28,189.12,237,163.28,189.12,237,40.82,47.28,59.25,175.76,200.64,249,43.94,50.16,62.25,131.82,150.48,186.75,33.71,40.39,43.8,33.8,41.11,49.8,2,2,2,77.9,107.44,131.76,95.04,131.08,160.75,2.5,2.5,2.6,2.4,2.4,2.5,7,8,10,100,0,76.1,26.9,0,1769,23075,0,0,0,24844,0,0,0
"B-B-B-A-A-A-E",24689,10,1881,1893,1898,26.52,33.52,40.28,13,15,16,2,3,3,110.51,139.1,159.91,55.255,69.55,79.955,4,5,5,1,2,2,13.81375,17.3875,19.98875,197.69,288.31,290.39,150.164,171.84,201,150.164,171.84,201,37.541,42.96,50.25,160.58,183.36,213,40.145,45.84,53.25,120.435,137.52,159.75,40.59,46.02,51.44,36.6,38.2,42.6,2,2,2,81.98,95.91,99.6,100.02,109.64,121.5,2.24,2.4,2.5,2.1,2.4,2.6,5,5,8,0,0,0,17.9,0,0,0,3718,2322,18649,22984,1705,0,0
"A-A-A-A-A-A-L",24687,25,1950,1960,1979,48.14,57,59.94,8,9,10,2,2,3,76.39,80.13,86.15,37.515,39.97,43,3,5,5,1,2,2,12.60435,13.24785,15.5166,166.74,176.15,199.35,84.48,91.68,112.32,81.6,88.8,109.44,28.16,30.56,37.44,93.12,100.32,120.96,31.04,33.44,40.32,62.08,66.88,80.64,18.35,20.01,26.83,20.2,20.9,24.6,2,2,2,52.19,52.91,61.55,63.65,64.56,75.09,2.37,2.4,2.45,2.37,2.4,2.5,5,5,7,22.7,0,87.2,48.9,0,876,4718,17214,649,1230,5597,3422,5574,10094
"A-B-B-B-A-B-B",24438,6,1906,1906,1912,32.92,32.92,39.68,17,24,24,3,4,4,139.01,161.42,161.42,46.3366666666667,53.8066666666667,53.8066666666667,5,5,5,1,1,2,15.2911,17.7562,17.7562,299.94,394.25,394.25,208.32,241.893,241.893,203.28,236.871,236.871,69.44,80.631,80.631,223.44,256.2546,256.959,74.48,85.4182,85.653,148.96,170.8364,171.306,31.19,41.68,41.68,26.6,30.7,30.7,3,3,3,77.51,93.43,93.43,87.6,113.99,113.99,2.59,2.79,2.79,2.47,2.66,2.66,6,6,9,100,0,0,0,0,0,21671,2767,0,0,22700,1738,0,0
"F-A-B-A-A-A-B",24361,11,1919,1926,1928,53.94,57.57,58.87,6,11,14,2,2,2,56.97,65.86,65.95,56.97,65.86,65.95,5,5,5,1,1,2,14.2425,16.465,16.4875,132.72,133.55,152.1,65.07,65.76,77.28,65.07,65.76,77.28,16.2675,16.44,19.32,71.52,71.55,83.04,17.88,17.8875,20.76,53.64,53.6625,62.28,15.85,17.36,32.89,26.5,29.8,34.6,1,1,1,71.06,82.58,82.77,86.69,100.76,100.98,2.4,2.4,2.6,2.4,2.4,2.4,7,9,10,100,0,73.5,44.3,0,0,21463,2898,0,0,19751,850,833,2927
"A-B-A-A-A-A-B",23516,14,1947,1954,1960,45.91,47.51,58.03,11,14,15,2,2,2,76.01,78.08,86.13,38.005,39.04,43.065,4,5,5,2,2,2,12.54165,12.8832,18.3348,185.33,191.69,203.82,84.48,98.44,106.21,81.6,95.68,103.246,28.16,32.8133333333333,35.4033333333333,93.12,106.72,115.102,31.04,35.5733333333333,38.3673333333333,62.08,71.1466666666666,76.7346666666667,21.95,24.98,28.84,19.4,23.2,23.3,2,2,2,50.57,55.15,56.81,61.69,67.29,68.68,2.4,2.47,2.5,2.4,2.4,2.47,4,5,9,100,3.7,8.6,5.5,0,847,22669,0,0,0,18134,990,3992,400
"G-B-B-A-A-D-D",23169,11,1863,1889,1913,25.31,31.87,57.99,2,7,9,1,1,1,44.02,48.92,55.51,44.02,48.92,55.51,0,0,0,0,0,0,11.005,12.23,13.8775,102.06,105.12,131.12,36.1333333333333,84.3366666666667,117.793333333333,33.2533333333333,81.2166666666667,114.913333333333,18.0666666666667,42.1683333333333,58.8966666666667,39.0133333333333,87.4566666666667,120.673333333333,19.5066666666667,43.7283333333333,60.3366666666667,19.5066666666667,43.7283333333333,60.3366666666667,50.16,69.8,169.24,18.5,45.35,87.6,3,3,4,89.23,119.11,380.5,108.86,145.31,464.22,2.4,2.4,2.4,2.4,2.4,2.4,4,5,6,100,0,15.1,17.6,4838,8464,9867,0,0,0,2541,17412,1526,1690
"A-A-B-A-A-C-A",22636,14,1917,1921,1936,56.3,60.57,64.33,8,11,15,2,3,4,78.01,96.34,116.45,39.005,48.17,58.225,5,5,5,2,2,2,15.2196,16.0842,19.21425,192.73,202.74,262.64,105.5,111.84,125.76,102.5,108.96,122.88,35.1666666666667,37.28,41.92,114.5,120.48,135.184,38.1666666666667,40.16,45.0613333333333,76.3333333333333,80.32,90.1226666666667,19.9,26.11,37.13,22.9,23.8,26.8,2,2,2,53.98,65.48,74.35,65.86,79.89,85.22,2.4,2.56,2.7,2.4,2.5,2.6,2,5,8,100,0,71.4,30.2,0,1845,16265,2761,1765,0,15873,6277,486,0
"C-A-A-A-A-A-H",21720,12,1978,1998,2008,60.33,63.84,63.84,9,10,11,2,3,5,83.3,101.85,103.03,41.65,44.7,50.925,5,5,5,2,2,2,20.825,22.35,25.4625,172.83,221.56,236.28,67.68,84.64,90.206,59.04,79.12,84.686,33.84,42.32,45.103,76.32,90.16,95.726,38.16,45.08,47.863,38.16,45.08,47.863,15.96,16.86,25.6,10.6,19.6,20.81,2,2,3,54.89,55.38,69.99,66.96,67.56,85.39,2.3,2.3,2.3,2.3,2.3,2.4,3,5,5,100,0,50.9,13.9,3441,564,17715,0,0,0,17148,1456,487,2629
"A-B-B-B-A-A-B",21681,8,1900,1919,1930,41.93,47.32,48.87,11,14,19,2,2,4,128.1,139.24,146.26,48.7533333333333,50.2766666666667,69.5666666666667,4,5,5,1,2,2,16.2516666666667,21.35,22.9746,286.21,290.2,357.1,170.04,170.172,199.998,166.92,167.04,195.57,56.68,56.724,66.666,179.4,181.152,213.282,59.8,60.384,71.094,119.6,120.768,142.188,23.88,28.7,38.04,27.4,28.9,34.4,2,3,3,76.88,88.33,120.15,94.17,102.05,147.68,2.49,2.6,2.72,2.5,2.64,2.7,5,8,9,100,0,0,24.2,0,5160,14792,0,0,1729,21681,0,0,0
"H-A-A-C-B-A-C",21611,10,1945,1945,1969,37.75,37.75,64.6,4,4,5,1,1,1,44.64,44.64,46.79,44.64,44.64,46.79,5,5,5,1,1,1,44.64,44.64,46.79,88.09,88.09,99.6,94.56,164.576666666667,164.576666666667,91.68,161.696666666667,161.696666666667,47.28,82.2883333333333,82.2883333333333,97.44,167.456666666667,167.456666666667,48.72,83.7283333333333,83.7283333333333,48.72,83.7283333333333,83.7283333333333,106.12,150.93,150.93,45.3,85.4,85.4,3,3,4,183.68,280.26,280.26,183.68,280.26,280.26,2.4,2.4,2.4,2.4,2.4,2.4,2,5,5,100,0,66.8,0,0,6728,14883,0,0,0,11812,2279,6186,1334
"G-B-C-A-A-D-A",21255,12,1849,1849,1849,56.99,64.93,67.21,5,6,14,1,1,2,53.27,73.18,106.91,53.27,73.18,106.91,5,5,5,1,2,2,13.3175,18.295,26.7275,144.24,165.1,247.81,34.6975,68.395,207.99,31.8175,65.515,205.11,17.34875,34.1975,103.995,37.5775,71.275,210.87,18.78875,35.6375,105.435,18.78875,35.6375,105.435,40.29,88.7,134.19,19.7,32.4,72,3,3,5,89.58,119.43,340.2,109.28,145.72,415.04,2.4,2.4,2.8,2.4,2.4,3.3,2,4,7,100,0,0,0,7696,10614,2945,0,0,0,9931,10702,0,622
"A-B-C-A-A-A-A",21241,8,1849,1849,1849,47.05,53.91,58.32,7,11,15,2,3,4,66.88,111.9,115.96,33.44,43.92,55.95,5,5,5,2,2,2,13.244,15.8725,18.4635,168.06,230.68,286.06,88.8,118.734,146.08,85.92,115.65,143.44,29.6,39.578,48.6933333333333,97.44,127.986,154,32.48,42.662,51.3333333333333,64.96,85.324,102.666666666667,17.84,23.46,23.52,20.3,24.9,35,2,2,2,46.6,72.46,84.42,56.86,88.4,102.99,2.2,2.4,2.57,2.3,2.4,2.8,5,7,7,100,0,0,20.6,0,0,947,9461,8026,2807,15207,5087,0,947
"C-C-A-A-A-A-B",21219,22,1958,1962,1970,62.69,66.75,70.51,7,8,9,2,2,2,67.57,77.46,89.5,33.785,38.73,44.75,5,5,5,1,2,2,16.8925,19.365,22.375,154.32,170.58,181.2,46.92,57.04,66.528,41.4,51.52,60.768,23.46,28.52,33.264,52.44,62.56,72.288,26.22,31.28,36.144,26.22,31.28,36.144,14.28,17.44,20.8,11.2,12.8,15.06,2,2,2,44.34,50.12,56.93,54.08,61.14,69.45,2.3,2.4,2.4,2.3,2.3,2.4,2,4,6,100,0,29.1,32,0,417,18283,0,2519,0,7815,5643,3917,3844
"H-B-B-A-A-B-A",21197,13,1900,1923,1925,56.48,59.15,62.32,8,10,10,1,2,2,49.97,65.32,83.2,49.97,65.32,83.2,4,5,5,1,1,2,12.4925,16.33,20.8,117.91,142.62,166.98,38.375,51.423,57.895,35.255,48.231,55.015,19.1875,25.7115,28.9475,41.495,54.615,60.775,20.7475,27.3075,30.3875,20.7475,27.3075,30.3875,20.47,33.97,35.57,20.8,26.56,32.6,2,2,2,64.13,99.47,117.02,78.23,121.35,137.24,2.4,2.4,2.6,2.4,2.5,2.6,3,3,7,100,0,0,0,1079,11249,8869,0,0,0,8699,9359,2360,779
"B-B-B-A-A-B-E",21063,9,1871,1871,1909,19.18,37.11,38.12,14,15,24,3,3,4,111.69,141.22,146.58,55.845,70.61,73.29,4,5,5,2,2,2,13.96125,17.6525,18.3225,266.37,297.29,305.14,161.568,177.56,210.6,161.568,177.56,210.6,40.392,44.39,52.65,174.24,188.6,223.56,43.56,47.15,55.89,130.68,141.45,167.67,29.37,46.35,53.65,36.6,41,41.4,2,2,2,79.84,95.46,96.37,97.4,116.46,117.57,2.3,2.36,2.6,2.4,2.4,2.55,5,6,9,0,0,0,0,0,0,0,7536,0,13527,18885,2178,0,0
"A-A-A-A-A-C-A",20991,13,1950,1960,1979,64.25,66.09,68.37,10,10,17,2,2,3,67.86,86.77,103.68,33.93,43.385,51.84,5,5,5,1,2,2,13.6575,15.1437,19.3248,155.1,186.13,216.43,88.36,101,106.56,85.54,98,103.68,29.4533333333333,33.6666666666667,35.52,96.82,110,115.2,32.2733333333333,36.6666666666667,38.4,64.5466666666667,73.3333333333333,76.8,8.74,21.78,26.68,20.6,23.3,24,2,2,2,45.48,58.22,67.76,55.48,73.01,82.67,2.3,2.4,2.4,2.3,2.4,2.4,2,5,10,100,0,77.8,42.4,2214,1784,14509,2484,0,0,12291,7104,0,1596
"A-B-C-A-A-D-A",20987,6,1849,1849,1849,36.1,45.04,49.88,6,12,14,2,2,4,93.02,139.92,197.21,46.51,69.96,96.65,4,5,5,2,2,2,23.255,23.255,42.1125,241.94,273.74,449.75,101,129.93,163.142,98,127.374,159.89,33.6666666666667,43.31,54.3806666666667,110,137.598,172.898,36.6666666666667,45.866,57.6326666666667,73.3333333333333,91.732,115.265333333333,15.21,37.51,41.71,22,31.9,32.3,3,3,3,37.36,94.33,96.88,45.58,112.37,118.19,2.41,2.5,2.5,2.39,2.51,2.65,6,10,10,100,0,0,0,1041,8756,6274,2311,2605,0,17341,3646,0,0
"B-B-B-B-A-A-A",20879,7,1910,1918,1936,49.93,52.82,59.2,13,16,19,2,2,3,165.25,216.93,231.93,72.31,95.295,115.965,5,5,5,2,2,2,18.0775,29.20375,47.6475,306.03,316.34,360.21,246.51,280.32,292.824,246.51,280.32,292.824,61.6275,70.08,73.206,264.438,291.84,304.776,66.1095,72.96,76.194,198.3285,218.88,228.582,35.51,39.28,55.55,41.2,44.4,60.8,2,2,3,114.86,120.46,162.48,133.82,154.54,199.69,2.49,2.63,2.65,2.44,2.63,2.65,4,7,8,100,0,0,12.2,0,3494,13480,3905,0,0,20103,776,0,0
"B-B-B-B-A-A-B",20820,7,1909,1924,1940,41.68,48.63,53.07,17,20,22,2,3,7,124.39,158.91,189.76,62.195,79.455,94.88,5,5,5,1,2,2,15.54875,19.86375,23.72,229.44,269.61,370.39,203.184,207.46,276.48,203.184,207.46,276.48,50.796,51.865,69.12,215.136,219.604,293.76,53.784,54.901,73.44,161.352,164.703,220.32,34,40.21,68.29,43.2,45.6,53.6,2,2,3,122.86,133.01,161.36,139.22,162.27,187.96,2.4,2.49,2.53,2.3,2.4,2.49,6,7,7,100,0,0,24.3,0,4067,11487,0,0,5266,20820,0,0,0
"A-A-B-B-A-A-B",20313,5,1899,1909,1934,46.55,52.6,64.92,14,17,24,3,5,5,138.81,174.13,181.72,58.0433333333333,60.5733333333333,69.405,4,4,5,1,2,2,19.1543,19.9892,34.7025,231.81,354.36,361.15,124.032,200.3058,202.5,121.152,195.6798,197.64,41.344,66.7686,67.5,132.672,214.1838,217.08,44.224,71.3946,72.36,88.448,142.7892,144.72,11.85,23.96,25.96,26.8,27.64,27.78,2,3,3,87.72,88.58,102.84,105.56,108.08,121.41,2.4,2.57,2.7,2.5,2.5,2.7,7,9,10,100,39.2,2.8,0,0,6039,8243,6031,0,0,19743,0,275,295
"B-A-A-B-A-B-A",20312,5,1972,1980,1980,63.73,68.12,68.12,14,15,20,3,5,5,149.96,170.4,188.67,74.98,85.2,94.335,5,5,5,2,2,2,21.3,21.3,23.58375,283.14,295.46,301.15,210.656,234,234,210.656,234,234,52.664,58.5,58.5,221.792,246,246,55.448,61.5,61.5,166.344,184.5,184.5,39.66,39.66,44,47.8,49.2,49.2,2,2,2,127.69,153.54,153.54,146,173.81,173.81,2.32,2.4,2.5,2.3,2.3,2.3,7,7,10,100,0,68.9,0,0,0,9467,10845,0,0,20312,0,0,0
"G-B-B-A-A-D-K",19461,5,1853,1862,1862,5.92,10.03,16.49,5,8,11,1,2,2,27.98,58.89,118.44,27.98,58.89,118.44,0,0,0,0,0,0,6.995,14.7225,29.61,92.22,141.13,310.24,48.6866666666667,48.6866666666667,60.6933333333333,45.4466666666667,45.4466666666667,57.8133333333333,24.3433333333333,24.3433333333333,30.3466666666667,51.9266666666667,51.9266666666667,63.5733333333333,25.9633333333333,25.9633333333333,31.7866666666667,25.9633333333333,25.9633333333333,31.7866666666667,28.23,42.31,44.11,21,29.6,35.9,3,3,4,44.1,76.84,153.09,51.38,93.75,186.78,2.4,2.4,2.7,2.4,2.77,2.9,1,3,4,100,9.9,0,0,8775,5075,5611,0,0,0,0,19461,0,0
"B-A-B-A-A-B-A",19239,6,1919,1926,1941,52.02,55.57,55.57,17,20,20,4,5,5,134.79,195.28,195.28,67.395,97.64,97.64,5,5,5,1,2,2,16.84875,24.41,24.41,282.57,337.15,340.52,169.32,209.76,216.32,169.32,209.76,216.32,42.33,52.44,54.08,181.56,220.8,228.8,45.39,55.2,57.2,136.17,165.6,171.6,42.85,50.38,50.38,35.6,44,44,2,2,2,86,129.4,129.4,104.94,170.1,170.17,2.55,2.55,2.6,2.42,2.48,2.54,6,8,9,100,0,9.8,29.3,0,0,9877,7056,0,2306,19239,0,0,0
"H-B-B-A-A-C-A",19121,9,1903,1907,1923,59.92,62.83,64.35,6,7,8,1,2,2,56.1,56.19,67.73,56.1,56.19,67.73,5,5,5,2,2,2,14.025,14.0475,16.9325,125.64,137.63,149.69,33.692,38.185,54.671,30.704,35.305,51.587,16.846,19.0925,27.3355,36.68,41.065,57.755,18.34,20.5325,28.8775,18.34,20.5325,28.8775,27.17,30.23,35.99,17.7,19.8,21.7,2,2,2,70.24,80.56,90.11,85.69,93.44,109.94,2.4,2.49,2.62,2.4,2.4,2.51,4,5,6,100,0,0,0,1329,10134,7658,0,0,0,3189,12902,3030,0
"F-A-A-A-A-C-B",19104,5,1963,1972,1972,44.38,62.38,62.38,9,9,16,2,2,3,90.53,90.53,164.3,90.53,90.53,164.3,5,5,5,1,1,2,22.6325,22.6325,41.075,152.87,152.87,293.38,96.48,96.48,151,96.48,96.48,151,24.12,24.12,37.75,102.24,102.24,157,25.56,25.56,39.25,76.68,76.68,117.75,22.22,22.22,44.25,42.6,42.6,62.8,1,1,1,114.88,114.88,205.18,140.16,140.16,238.13,2.4,2.4,2.5,2.4,2.4,2.4,9,9,9,100,0,63.5,12.8,0,0,11090,8014,0,0,16756,1305,0,1043
"C-B-B-B-A-B-B",18549,7,1915,1917,1939,56.52,58.92,62.88,13,14,16,2,2,3,68.41,70.05,109.39,23.35,34.205,36.4633333333333,5,5,5,1,2,2,11.675,17.1025,18.2316666666667,185.14,192.7,282.6,67.608,67.68,121.326,59.04,60.96,111.354,33.804,33.84,60.663,76.248,76.32,131.298,38.124,38.16,65.649,38.124,38.16,65.649,14.32,22.48,31.44,10.6,15.1,15.8,3,3,3,40.94,46.41,60.74,49.94,60.8,69.77,2.4,2.4,2.74,2.4,2.4,2.6,4,6,10,100,0,0,0,0,2353,16196,0,0,0,18549,0,0,0
"G-B-B-A-A-C-B",18485,4,1860,1904,1904,55.94,55.94,61.22,9,23,23,1,2,2,55.42,130.27,130.27,55.42,130.27,130.27,5,5,5,2,2,2,13.855,32.5675,32.5675,132.5,306.11,306.11,18.3833333333333,52.96,52.96,15.5033333333333,50.08,50.08,9.19166666666667,26.48,26.48,21.2633333333333,55.84,55.84,10.6316666666667,27.92,27.92,10.6316666666667,27.92,27.92,27.34,56.21,56.21,15.4,33.8,33.8,2,3,3,60.16,122.5,122.5,73.4,149.45,149.45,2.4,2.4,2.4,2.5,2.8,2.8,4,9,9,100,0,0,0,0,8706,9779,0,0,0,9779,1541,0,7165
"B-B-B-A-A-B-A",18386,9,1906,1928,1937,37.23,49.14,51.76,16,22,30,2,3,4,84.41,96.79,162.83,42.205,48.395,81.415,4,5,5,2,2,2,10.55125,12.09875,20.35375,201.36,263.15,332.5,143,167.936,206.248,143,167.936,206.248,35.75,41.984,51.562,155,180.224,218.44,38.75,45.056,54.61,116.25,135.168,163.83,30.15,32.56,56.84,31,34.4,43,2,2,2,61.95,63.98,124.82,73.99,78.04,152.28,2.5,2.54,2.56,2.4,2.5,2.7,4,5,7,100,0,12,0,0,1339,14422,2625,0,0,7796,9210,0,1380
"A-A-B-A-A-A-F",18228,7,1925,1932,1941,11.03,40.6,48.38,11,14,14,2,2,2,71.01,73.71,79.7,35.505,36.855,39.85,0,1,1,0,0,0,11.71665,12.16215,13.1505,189.12,189.56,206.82,94.848,99.84,106.48,92.112,96.768,103.576,31.616,33.28,35.4933333333333,103.056,109.056,115.192,34.352,36.352,38.3973333333333,68.704,72.704,76.7946666666667,23.81,29.13,29.13,21.6,22.6,23.8,2,2,2,52.38,52.38,59.64,61.59,61.91,71.42,2.28,2.42,2.6,2.37,2.37,2.5,3,4,8,89.1,0,11.8,22.6,0,0,14186,2063,0,1979,16086,2142,0,0
"I-A-A-C-B-A-B",18062,11,1965,1980,1980,75.41,75.41,75.97,5,5,5,2,2,2,59.78,87.43,87.43,59.78,87.43,87.43,5,5,5,2,2,2,59.78,87.43,87.43,136.67,152.97,152.97,174.194,216.598888888889,216.598888888889,171.314,213.718888888889,213.718888888889,87.097,108.299444444444,108.299444444444,177.074,219.478888888889,219.478888888889,88.537,109.739444444444,109.739444444444,88.537,109.739444444444,109.739444444444,616.39,616.39,698.6,94.6,118,118,7,10,10,467.4,634,634,467.4,634,634,2.4,2.4,2.4,2.4,2.4,2.4,2,7,7,100,0,17.2,0,1341,4139,12582,0,0,0,9446,1670,3103,3843
"B-A-A-B-A-C-B",17757,4,1976,1976,1986,64.3,64.3,64.75,12,19,19,3,4,4,125.95,125.95,163.99,62.975,62.975,81.995,5,5,5,2,2,2,15.74375,15.74375,20.49875,250.09,250.09,300.96,161.28,161.28,224.532,161.28,161.28,224.532,40.32,40.32,56.133,172.8,172.8,236.196,43.2,43.2,59.049,129.6,129.6,177.147,17.43,36.71,36.71,36,36,48.6,2,2,2,84.7,84.7,137.8,107.15,107.15,168.12,2.4,2.4,2.43,2.21,2.4,2.4,8,8,9,100,0,100,0,0,0,17757,0,0,0,17757,0,0,0
"H-B-B-C-B-A-A",17484,11,1920,1929,1937,52.63,60.16,69.45,5,8,11,1,1,2,59.58,62.06,72.47,59.58,62.06,72.47,5,5,5,1,2,2,59.58,62.06,72.47,127.68,136.45,152.48,77.045,80.14,96.2765,74.285,77.26,93.2405,38.5225,40.07,48.13825,79.8875,83.02,99.3125,39.94375,41.51,49.65625,39.94375,41.51,49.65625,75.4,116.28,145.11,35.1,43,46.5,4,4,5,78,193.7,240.5,78,193.7,240.5,2.4,2.4,2.4,2.4,2.4,2.5,2,2,2,100,0,5.4,0,3877,10499,3108,0,0,0,2009,4972,4936,5567
"B-A-B-B-A-A-B",17434,5,1928,1931,1933,61.52,66.08,71.06,13,13,28,2,2,8,146.1,153.81,342.93,59.44,76.905,171.465,5,5,6,2,2,2,14.86,19.22625,85.7325,258.25,302.37,380.65,204.48,221.76,308,204.48,221.76,308,51.12,55.44,77,216,233.28,320,54,58.32,80,162,174.96,240,26.44,27.27,70.04,40,45,64,2,2,2,105,130.68,218.47,125.8,158,284.23,2.4,2.5,2.5,2,2.4,2.5,6,9,10,100,0,100,0,0,0,17434,0,0,0,17434,0,0,0
"H-A-A-C-B-A-F",17415,6,1980,1980,2007,34.39,34.39,72.49,5,5,6,1,1,1,59.32,59.32,63.16,59.32,59.32,63.16,3,3,9,0,0,0,59.32,59.32,63.16,120.51,120.51,131.18,135.438,137.706666666667,162.853333333333,132.558,134.946666666667,159.973333333333,67.719,68.8533333333333,81.4266666666667,138.318,140.466666666667,165.733333333333,69.159,70.2333333333333,82.8666666666667,69.159,70.2333333333333,82.8666666666667,83.5,172.9,260.18,54,61.4,117.2,3,3,6,151.9,371.84,470.4,169.37,371.84,470.4,2.3,2.4,2.4,2.4,2.4,2.4,4,5,5,100,21.7,43.1,0,1863,5650,9902,0,0,0,11484,4859,0,1072
"H-A-A-C-A-A-D",17285,8,1974,1980,1993,56.41,70.85,74.67,2,4,7,1,3,5,46.31,72.13,81.88,46.31,72.13,81.88,0,0,0,0,0,0,46.31,72.13,81.88,100.92,133.49,152.48,27.54,120.54,170.2125,24.66,117.66,167.3325,13.77,60.27,85.10625,30.42,123.42,173.0925,15.21,61.71,86.54625,15.21,61.71,86.54625,52.16,134.83,339.87,16.4,60.5,101.2,3,4,4,42.64,255.38,450,42.64,255.38,450,2.4,2.4,2.4,2.4,2.4,2.4,2,3,4,100,0,38.3,0,0,10178,7107,0,0,0,2569,11861,2077,778
"H-A-A-A-A-D-F",17233,8,1975,1982,1984,35.88,40.56,53.61,4,4,6,1,1,1,41.03,49.81,53.98,41.03,49.81,53.98,1,1,9,0,0,0,10.2575,12.4525,13.495,85.62,100.74,123.81,73.98,102.8,208.645,71.1,99.92,205.765,36.99,51.4,104.3225,76.86,105.68,211.525,38.43,52.84,105.7625,38.43,52.84,105.7625,38.08,82.41,179.44,37.6,48.84,92,2,2,3,138.26,181.79,513.7,168.68,221.78,626.72,2.4,2.4,2.4,2.3,2.4,2.4,5,7,8,67,0,17,0,2001,5905,3640,4260,0,1427,10953,6280,0,0
"F-A-B-A-A-A-K",17226,2,1944,1944,1944,1,1,1,7,7,7,2,2,2,54.56,54.56,54.56,54.56,54.56,54.56,0,0,0,0,0,0,13.64,13.64,13.64,134.9,134.9,134.9,76.8,76.8,76.8,76.8,76.8,76.8,19.2,19.2,19.2,82.56,82.56,82.56,20.64,20.64,20.64,61.92,61.92,61.92,26.02,26.02,26.02,34.4,34.4,34.4,1,1,1,72.29,72.29,72.29,88.19,88.19,88.19,2.4,2.4,2.4,2.4,2.4,2.4,9,9,9,100,0,0,0,0,0,17226,0,0,0,17226,0,0,0
"A-D-B-A-A-B-B",17078,2,1885,1885,1885,49.46,49.46,49.46,11,11,11,5,5,5,136.52,136.52,136.52,45.5066666666667,45.5066666666667,45.5066666666667,5,5,5,1,1,1,15.0172,15.0172,15.0172,314.24,314.24,314.24,264.816,264.816,264.816,260.496,260.496,260.496,88.272,88.272,88.272,277.776,277.776,277.776,92.592,92.592,92.592,185.184,185.184,185.184,55.5,55.5,55.5,38.58,38.58,38.58,3,3,3,92.56,92.56,92.56,107.23,107.23,107.23,2.4,2.4,2.4,2.5,2.5,2.5,5,5,5,100,0,0,0,0,15322,1756,0,0,0,17078,0,0,0
"B-B-C-A-A-D-E",17027,9,1849,1849,1849,21.31,22.85,28.42,12,18,23,2,3,4,117.98,259.27,318.84,58.99,129.635,159.42,5,5,5,1,1,2,14.7475,32.40875,39.855,252.4,363.07,424.29,181.8,224.64,271.728,181.8,224.64,271.728,45.45,56.16,67.932,192.6,236.16,282.384,48.15,59.04,70.596,144.45,177.12,211.788,38.53,60.5,65.56,42.8,49.2,63.6,2,2,2,105.95,163.19,195.3,129.26,190.02,239.4,2.25,2.31,2.4,2.26,2.44,2.6,5,7,8,0,0,0,45.8,0,0,0,0,1176,15851,12735,4292,0,0
"H-A-A-A-A-C-A",16996,18,1960,1967,1978,67.04,71.34,72.31,5,6,6,1,2,2,44.15,52.76,59.33,44.15,52.76,59.33,4,5,5,2,2,2,11.0375,13.19,14.8325,103.69,114.62,135.08,76.0433333333333,84.5986666666667,123.692,73.1633333333333,81.7306666666667,120.812,38.0216666666667,42.2993333333333,61.846,78.9233333333333,87.4666666666667,126.572,39.4616666666667,43.7333333333333,63.286,39.4616666666667,43.7333333333333,63.286,19.08,58.62,180.2,35.7,42.6,71.2,2,2,3,131.08,144.02,292.54,159.92,175.7,356.89,2.3,2.4,2.4,2.4,2.4,2.4,2,4,6,100,0,70.9,0,0,6488,10508,0,0,0,4303,4420,5418,2855
