"archcode","ndwel","nsample","age.Q1","age.Q2","age.Q3","sap.Q1","sap.Q2","sap.Q3","windows.Q1","windows.Q2","windows.Q3","doors.Q1","doors.Q2","doors.Q3","floorarea.Q1","floorarea.Q2","floorarea.Q3","groundfloorarea.Q1","groundfloorarea.Q2","groundfloorarea.Q3","control.Q1","control.Q2","control.Q3","radcontrol.Q1","radcontrol.Q2","radcontrol.Q3","solararea.Q1","solararea.Q2","solararea.Q3","intwallarea.Q1","intwallarea.Q2","intwallarea.Q3","intwallarea.extwalls.Q1","intwallarea.extwalls.Q2","intwallarea.extwalls.Q3","intwallarea.extpartywalls.Q1","intwallarea.extpartywalls.Q2","intwallarea.extpartywalls.Q3","intwallarea.frontwall.Q1","intwallarea.frontwall.Q2","intwallarea.frontwall.Q3","extwallarea.Q1","extwallarea.Q2","extwallarea.Q3","extwallarea.front.Q1","extwallarea.front.Q2","extwallarea.front.Q3","extwallarea.exceptfront.Q1","extwallarea.exceptfront.Q2","extwallarea.exceptfront.Q3","extwindowarea.Q1","extwindowarea.Q2","extwindowarea.Q3","dpcperim.Q1","dpcperim.Q2","dpcperim.Q3","nfloors.Q1","nfloors.Q2","nfloors.Q3","roofareaplan.Q1","roofareaplan.Q2","roofareaplan.Q3","roofareaslope.Q1","roofareaslope.Q2","roofareaslope.Q3","ceilingground.Q1","ceilingground.Q2","ceilingground.Q3","ceilingfirst.Q1","ceilingfirst.Q2","ceilingfirst.Q3","imd.Q1","imd.Q2","imd.Q3","gasgrid.yes","tank.wellins","wallins","loftins","citycentre","otherurban","suburban","ruralres","villagecentre","rural","own","rent.private","rent.la","rent.rsl"
"C-B-B-C-B-A-A",3593,2,1906,1906,1940,62.43,64.36,64.36,5,10,10,1,2,2,59.51,129,129,19.8366666666667,43,43,4,5,5,2,2,2,19.8366666666667,43,43,160.31,380.02,380.02,39.7848,111.6,111.6,31.0728,100.8,100.8,19.8924,55.8,55.8,48.4968,122.4,122.4,24.2484,61.2,61.2,24.2484,61.2,61.2,13.48,17.68,17.68,6.68,13.6,13.6,3,3,3,27.93,55,55,29.77,57.42,57.42,2.42,3,3,2.4,3,3,1,1,4,100,0,0,0,0,0,3593,0,0,0,2257,0,0,1336
"C-B-B-A-A-C-D",3580,2,1857,1857,1887,36.39,53.04,53.04,6,6,6,2,2,2,61.77,61.77,70.69,30.885,30.885,35.345,0,0,0,0,0,0,15.4425,15.4425,17.6725,160.35,160.35,182.44,62.73,67.308,67.308,56.61,61.62,61.62,31.365,33.654,33.654,68.85,72.996,72.996,34.425,36.498,36.498,34.425,36.498,36.498,8.49,8.49,20.08,13.5,15.4,15.4,2,2,2,50.66,50.91,50.91,59.84,62.11,62.11,2.37,2.37,2.55,2.4,2.5,2.5,7,9,9,0,0,0,0,0,0,0,1261,2319,0,0,3580,0,0
"F-A-B-A-A-D-A",3558,3,1925,1933,1933,56.8,65.37,65.37,4,8,8,2,2,2,36.69,63.8,63.8,36.69,63.8,63.8,5,5,5,0,1,1,9.1725,15.95,15.95,88.08,130.62,130.62,43.68,78.24,78.24,43.68,78.24,78.24,10.92,19.56,19.56,49.44,84,84,12.36,21,21,37.08,63,63,11.76,19.08,19.08,20.6,35,35,1,1,1,47.55,85.07,85.07,58.01,97.65,97.65,2.4,2.4,2.4,2.4,2.4,2.4,4,6,6,100,0,66.5,100,0,1191,2367,0,0,0,0,1993,0,1565
"A-C-A-A-A-A-E",3542,2,1954,1954,1954,53.27,53.27,53.27,10,10,10,3,3,3,68.9,68.9,68.9,34.45,34.45,34.45,5,5,5,2,2,2,8.6125,8.6125,8.6125,158.39,158.39,158.39,97.5,97.5,97.5,91.5,91.5,91.5,48.75,48.75,48.75,103.5,103.5,103.5,51.75,51.75,51.75,51.75,51.75,51.75,9.5,9.5,9.5,20.7,20.7,20.7,2,2,2,52.27,52.27,52.27,80.51,80.51,80.51,2.5,2.5,2.5,2.4,2.4,2.4,4,4,4,84.7,0,0,100,0,0,3001,541,0,0,0,3001,0,541
"F-C-A-A-A-A-D",3540,2,1973,1973,1973,51.5,51.5,51.5,7,7,7,1,1,1,48.27,48.27,48.27,48.27,48.27,48.27,0,0,0,0,0,0,12.0675,12.0675,12.0675,110.81,110.81,110.81,22.019,22.019,22.019,22.019,22.019,22.019,5.50475,5.50475,5.50475,27.467,27.467,27.467,6.86675,6.86675,6.86675,20.60025,20.60025,20.60025,14.12,14.12,14.12,12.1,12.1,12.1,1,1,1,61.15,61.15,61.15,74.6,74.6,74.6,2.27,2.27,2.27,2.4,2.4,2.4,7,7,7,0,0,0,87.3,0,0,0,3540,0,0,3092,0,0,448
"I-A-A-C-B-D-A",3537,2,1968,1968,1968,74.05,74.05,74.05,7,7,7,2,2,2,78.78,78.78,78.78,78.78,78.78,78.78,5,5,5,2,2,2,78.78,78.78,78.78,148.6,148.6,148.6,131.23,131.23,131.23,128.35,128.35,128.35,65.615,65.615,65.615,134.11,134.11,134.11,67.055,67.055,67.055,67.055,67.055,67.055,201.16,201.16,201.16,62,62,62,7,7,7,240.26,240.26,240.26,240.26,240.26,240.26,2.4,2.4,2.4,2.4,2.4,2.4,3,3,3,100,0,11.8,0,3119,418,0,0,0,0,3537,0,0,0
"B-B-C-A-B-D-E",3536,1,1849,1849,1849,32.78,32.78,32.78,14,14,14,2,2,2,111.84,111.84,111.84,55.92,55.92,55.92,5,5,5,2,2,2,13.98,13.98,13.98,189.23,189.23,189.23,150.5,150.5,150.5,150.5,150.5,150.5,37.625,37.625,37.625,160.82,160.82,160.82,40.205,40.205,40.205,120.615,120.615,120.615,28.56,28.56,28.56,37.4,37.4,37.4,2,2,2,94.3,94.3,94.3,115.04,115.04,115.04,2.15,2.15,2.15,2.2,2.2,2.2,6,6,6,0,0,0,100,0,0,0,0,0,3536,3536,0,0,0
"A-D-B-C-A-A-B",3535,1,1922,1922,1922,60.38,60.38,60.38,18,18,18,2,2,2,98.2,98.2,98.2,49.1,49.1,49.1,5,5,5,2,2,2,49.1,49.1,49.1,229.69,229.69,229.69,119,119,119,116,116,116,39.6666666666667,39.6666666666667,39.6666666666667,128,128,128,42.6666666666667,42.6666666666667,42.6666666666667,85.3333333333333,85.3333333333333,85.3333333333333,31.96,31.96,31.96,25.6,25.6,25.6,2,2,2,81.97,81.97,81.97,90.25,90.25,90.25,2.5,2.5,2.5,2.4,2.4,2.4,7,7,7,100,0,0,0,0,0,3535,0,0,0,3535,0,0,0
"B-C-C-A-A-A-B",3531,1,1849,1849,1849,32.23,32.23,32.23,17,17,17,2,2,2,172.54,172.54,172.54,86.27,86.27,86.27,5,5,5,2,2,2,21.5675,21.5675,21.5675,304.51,304.51,304.51,209.44,209.44,209.44,209.44,209.44,209.44,52.36,52.36,52.36,220,220,220,55,55,55,165,165,165,34.55,34.55,34.55,50,50,50,2,2,2,121.5,121.5,121.5,148.23,148.23,148.23,2.2,2.2,2.2,2.42,2.42,2.42,5,5,5,100,0,0,0,0,0,0,3531,0,0,3531,0,0,0
"A-B-C-B-A-B-C",3525,1,1849,1849,1849,49.89,49.89,49.89,19,19,19,3,3,3,402.73,402.73,402.73,134.243333333333,134.243333333333,134.243333333333,5,5,5,2,2,2,44.3003,44.3003,44.3003,703.53,703.53,703.53,412.776,412.776,412.776,407.484,407.484,407.484,137.592,137.592,137.592,428.652,428.652,428.652,142.884,142.884,142.884,285.768,285.768,285.768,94.5,94.5,94.5,48.6,48.6,48.6,4,4,4,123.07,123.07,123.07,150.15,150.15,150.15,2.94,2.94,2.94,3.1,3.1,3.1,9,9,9,100,0,0,0,0,3525,0,0,0,0,3525,0,0,0
