"","6","10","32","34","55","70","73","75","79","80","84","102","108","135","140","153"
"archcode",A-A-B-A-A-A-A,A-B-B-A-A-A-A,H-A-A-A-A-A-G,G-B-B-A-A-D-A,H-B-A-A-A-A-A,I-A-A-C-B-A-A,A-B-B-A-A-C-A,C-A-A-B-A-A-A,A-B-A-A-A-A-A,I-C-A-C-B-A-G,H-A-A-A-A-D-D,C-A-B-A-A-B-A,I-C-A-C-B-A-D,A-B-B-B-A-B-B,C-A-A-A-A-A-H,B-A-A-B-A-B-A
"suburban",563065,262524,76164,19925,20624,7921,22058,28168,23401,5335,31203,22039,8514,21671,17715,9467
"ruralres",29736,46618,6748,4667,0,0,2530,1916,2065,0,2539,0,0,2767,0,10845
"villagecentre",6899,16208,3476,0,0,0,4742,0,0,0,0,0,0,0,0,0
"rural",0,3580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"own",489322,389407,8832,36211,5779,10679,31201,21271,30107,1723,7192,17424,7594,22700,17148,20312
"rent.private",91861,97068,13151,65893,30757,16340,11732,13131,2537,12800,15782,11053,7838,1738,1456,0
"rent.la",61707,23115,34617,5518,15531,15379,745,2352,4527,14553,2780,1846,10888,0,487,0
"rent.rsl",54641,18401,71359,15387,12298,7008,0,3913,2107,8216,11130,0,2737,0,2629,0
"retrofit.options.x",AT5 CO1 CW1 FI3 FL1 RI1 SD1 SH1 SP1,AT5 CO1 FI3 FL1 RI1 SD1 SH1 SP1,AT5 CO1 CW1 FL1 RI1 SD1 SP1,AT5 CO1 FI3 FL1 RI1 SD1 SH1 SP1,AT5 CO1 FL1 RI1 SD1 SH1 SP1,AT5 CO1 CW1 FL1 SD1 SH1 SP1,AT5 CO1 FI3 FL1 RI1 SD1 SH1 SP1,AT5 CO1 CW1 FL1 SD1 SH1 SP1,AT5 CO1 FL1 RI1 SD1 SH1 SP1,AT5 CO1 FL1 SD1 SP1,AT5 CO1 CW1 FL1 RI1 SD1 SP1,AT5 CO1 CW1 FI3 FL1 RI1 SD1 SH1 SP1,AT5 CO1 FL1 SD1 SP1,AT5 CO1 FI3 FL1 SD1 SH1 SP1,AT5 CO1 CW1 FL1 RI1 SD1 SH1 SP1 WH1,AT5 CO1 CW1 FL1 SD1 SH1 SP1
"retrofit.options.y",CO1 CW1 FI4 FL2 RI1 SD1 SH1 SP1 VE1 WI1 XD1,CO1 FI4 FL2 RI1 SD1 SH1 SP1 SW1 VE1 WI1 XD1,CO1 CW1 FL2 RI1 SD1 SP1 VE1 WI1 XD1,CO1 FI4 FL2 RI1 SD1 SH1 SP1 SW1 VE1 WI1 XD1,CO1 FL2 RI1 SD1 SH1 SP1 SW1 VE1 WI1 XD1,CO1 CW1 FL2 RI5 SD1 SH1 SP1 VE1 WI1 XD1,CO1 FI4 FL2 RI1 SD1 SH1 SP1 SW1 VE1 WI1 XD1,CO1 CW1 FL2 SD1 SH1 SP1 VE1 WI1 XD1,CO1 FL2 RI1 SD1 SH1 SP1 SW1 VE1 WI1 XD1,CO1 FL2 RI5 SD1 SP1 SW1 VE1 WI1 XD1,CO1 CW1 FL2 RI1 SD1 SP1 VE1 WI1 XD1,CO1 CW1 FI4 FL2 RI1 SD1 SH1 SP1 VE1 WI1 XD1,CO1 FL2 RI5 SD1 SP1 SW1 VE1 WI1 XD1,CO1 FI4 FL2 SD1 SH1 SP1 SW1 VE1 WI1 XD1,CO1 CW1 FL2 RI1 SD1 SH1 SP1 VE1 WH1 WI1 XD1,CO1 CW1 FL2 SD1 SH1 SP1 VE1 WI1 XD1
"retrofit.options.z",CO1 FI5 FL2 SD2 SP1 VE2 WH2 WI2 XD2 AT1 AT2 CW2 CW3 PV2 PV3 RI2 SH2 SH3 SH4,CO1 FI5 FL2 SD2 SP1 SW2 VE2 WH2 WI2 XD2 AT1 AT2 PV2 PV3 RI2 SH2 SH3 SH4,CO1 FI1 FL2 SD2 SP1 VE2 WI2 XD2 AT1 AT2 CW2 CW3 PV2 PV3 RI2,CO1 FI5 FL2 SD2 SP1 SW2 VE2 WI2 XD2 AT1 AT2 PV2 PV3 RI2 SH3 SH4,CO1 FI1 FL2 SD2 SP1 SW2 VE2 WI2 XD2 AT1 AT2 PV2 PV3 RI2 SH3 SH4,CO1 FI1 FL2 RI6 SD2 SP1 VE2 WI2 XD2 AT1 AT2 CW2 CW3 SH3 SH4,CO1 FI5 FL2 SD2 SP1 SW2 VE2 WH2 WI2 XD2 AT1 AT2 PV2 PV3 RI2 SH2 SH3 SH4,CO1 FI1 FL2 SD2 SP1 VE2 WH2 WI2 XD2 AT1 AT2 CW2 CW3 PV2 PV3 RI2 RI3 SH3 SH4,CO1 FI1 FL2 SD2 SP1 SW2 VE2 WH2 WI2 XD2 AT1 AT2 PV2 PV3 RI2 SH2 SH3 SH4,CO1 FI1 FL2 RI6 SD2 SP1 SW2 VE2 WI2 XD2 AT3 AT4,CO1 FI1 FL2 SD2 SH8 SP1 VE2 WI2 XD2 AT1 AT2 CW2 CW3 PV2 PV3 RI2 SH3 SH4,CO1 FI5 FL2 SD2 SP1 VE2 WH2 WI2 XD2 AT1 AT2 CW2 CW3 PV2 PV3 RI2 SH3 SH4,CO1 FI1 FL2 RI6 SD2 SH8 SP1 SW2 VE2 WI2 XD2 AT3 AT4 SH3 SH4,CO1 FI5 FL2 SD2 SP1 SW2 VE2 WH2 WI2 XD2 AT1 AT2 PV2 PV3 RI2 RI3 SH2 SH3 SH4,CO1 FI1 FL2 SD2 SP1 VE2 WH2 WI2 XD2 AT1 AT2 CW2 CW3 PV2 PV3 RI2 SH3 SH4,CO1 FI1 FL2 SD2 SP1 VE2 WH2 WI2 XD2 AT1 AT2 CW2 CW3 PV2 PV3 RI2 RI3 SH2 SH3 SH4
"costs.x.total",4548,2109,7107,2405,3310,3966,2168,3966,2037,124,3834,4478,124,1582,4484,3966
"costs.y.total",13909,14792,12989,10718,13942,15519,15869,12392,14821,18662,9717,13835,16669,25135,13758,16208
"costs.z.total",69978,69724,72932,57256,75872,84140,72541,68913,75234,75246,80583,65182,98309,98780,72680,104934
