"","Finchtyp","mainfuel","watersys","tank","Finmhboi","count","countsamp","conf"
"79","No Answer","electricity","Electric immersion heater","Tank with Immersion Heater","No boiler",145472,90,1616.35555555556
"335","No Answer","electricity","Electric immersion heater","Tank without Immersion Heater","No boiler",4827,2,2413.5
"1198","No Answer","electricity","Instantaneous","No Tank","No boiler",68549,34,2016.14705882353
"3917","No Answer","gas (mains)","Dedicated boiler","No Tank","Condensing combi",726,1,726
"4467","No Answer","gas (mains)","With central heating","No Tank","No boiler",1304,1,1304
"4031","Room heaters","coal","Dedicated boiler","Tank with Immersion Heater","Back boiler",747,1,747
"997","Room heaters","coal","Dedicated boiler","Tank with Immersion Heater","No boiler",8712,6,1452
"4","Room heaters","coal","Electric immersion heater","Tank with Immersion Heater","No boiler",18422,14,1315.85714285714
"2378","Room heaters","coal","Instantaneous","No Tank","No boiler",2386,2,1193
"1512","Room heaters","electricity","Dedicated boiler","No Tank","No boiler",18008,12,1500.66666666667
"159","Room heaters","electricity","Dedicated boiler","Tank with Immersion Heater","No boiler",1082,1,1082
"1504","Room heaters","electricity","Electric immersion heater","No Tank","No boiler",5369,4,1342.25
"9227","Room heaters","electricity","Electric immersion heater","Tank with Immersion Heater","Back boiler",1377,1,1377
"6","Room heaters","electricity","Electric immersion heater","Tank with Immersion Heater","No boiler",244185,147,1661.12244897959
"202","Room heaters","electricity","Instantaneous","No Tank","No boiler",30438,19,1602
"9894","Room heaters","gas (mains)","Dedicated boiler","No Tank","Combination",859,1,859
"2744","Room heaters","gas (mains)","Dedicated boiler","No Tank","No boiler",8626,6,1437.66666666667
"6578","Room heaters","gas (mains)","Dedicated boiler","Tank with Immersion Heater","Back boiler",1150,1,1150
"7893","Room heaters","gas (mains)","Dedicated boiler","Tank with Immersion Heater","No boiler",920,1,920
"93","Room heaters","gas (mains)","Dedicated boiler","Tank without Immersion Heater","No boiler",7379,4,1844.75
"230","Room heaters","gas (mains)","Electric immersion heater","Tank with Immersion Heater","No boiler",77655,51,1522.64705882353
"659","Room heaters","gas (mains)","Instantaneous","No Tank","No boiler",47038,23,2045.13043478261
"8539","Room heaters","gas (other)","Electric immersion heater","Tank with Immersion Heater","No boiler",885,1,885
"8499","Room heaters","gas (other)","Instantaneous","No Tank","No boiler",2154,1,2154
"573","Room heaters","wood","Dedicated boiler","Tank with Immersion Heater","No boiler",8569,5,1713.8
"8990","Room heaters","wood","Electric immersion heater","Tank with Immersion Heater","No boiler",2785,1,2785
"4320","Room heaters","wood","Instantaneous","No Tank","No boiler",7287,3,2429
"213","Storage heaters","electricity","Dedicated boiler","No Tank","No boiler",21927,14,1566.21428571429
"422","Storage heaters","electricity","Dedicated boiler","Tank with Immersion Heater","No boiler",14318,12,1193.16666666667
"8389","Storage heaters","electricity","Dedicated boiler","Tank without Immersion Heater","No boiler",4454,1,4454
